instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8
instance_964,73.48,4.48,109.32,5.96,139.08,4.28,1.04,60.72
instance_447,951.8,1872.16,549.0,421.88,851.76,5143.72,302.84,808.0
instance_826,22.24,294.2,19.0,182.04,56.96,283.16,3.8,20.04
instance_602,8.4,28800.0,8.56,307.48,8.48,28800.0,34.16,7.84
instance_27,19.04,28800.0,6.56,48.32,17.96,28800.0,3920.72,10.0
instance_872,1984.6,4547.04,1361.84,28800.0,1664.2,4319.4,170.16,1981.04
instance_107,1.08,140.48,0.68,57.92,2.48,156.92,3.6,0.6
instance_52,9347.28,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,5660.0
instance_39,6849.44,28800.0,3421.08,113.32,3202.08,28800.0,28800.0,9494.32
instance_1037,942.28,160.4,1153.16,65.76,962.56,151.0,430.28,863.68
instance_1048,5336.56,44.56,577.64,49.0,553.56,42.6,72.88,6690.72
instance_558,2.64,41.48,1.84,108.4,4.44,40.68,2.08,1.64
instance_818,72.48,28800.0,63.28,28800.0,55.48,28800.0,28800.0,34.88
instance_298,50.36,28800.0,26.16,28800.0,82.08,28800.0,28800.0,24.64
instance_141,28800.0,28800.0,2406.84,28800.0,922.64,28800.0,28800.0,16068.6
instance_112,2.28,169.4,4.4,69.48,7.04,384.76,4.2,2.24
instance_251,28800.0,3.36,28800.0,50.48,28800.0,9.08,27.4,28800.0
instance_1150,15.32,28800.0,12.44,28800.0,18.64,28800.0,27.52,12.44
instance_556,28800.0,6621.44,28800.0,10292.8,28800.0,28800.0,13792.92,28800.0
instance_1087,2.64,28800.0,0.44,28800.0,1.36,28800.0,2.28,1.84
instance_310,2533.52,28800.0,701.68,28800.0,1328.0,28800.0,28800.0,1470.72
instance_678,631.92,1.76,541.84,156.52,600.08,4.96,5.08,912.68
instance_557,11.4,28800.0,8.36,74.24,10.28,28800.0,238.12,10.88
instance_632,67.52,28800.0,100.44,28800.0,116.96,28800.0,4752.68,55.16
instance_473,6.76,2313.56,3.2,97.04,4.68,28800.0,41.04,5.96
instance_70,28800.0,28800.0,28800.0,11167.8,28800.0,28800.0,28800.0,28800.0
instance_1113,22.28,28800.0,22.64,252.28,11.36,28800.0,11.8,7.44
instance_147,1943.48,28800.0,3363.48,28800.0,1989.76,28800.0,28800.0,1175.44
instance_506,18.4,28800.0,7.44,28800.0,8.64,28800.0,48.12,11.84
instance_311,2013.76,28800.0,950.04,28800.0,1092.6,28800.0,28800.0,1915.4
instance_711,121.32,2254.36,179.64,36.32,195.4,2330.56,49.8,143.08
instance_853,2.48,28800.0,1.28,1220.36,5.24,28800.0,1.4,1.92
instance_9,46.64,28800.0,21.6,28800.0,45.2,28800.0,2957.04,32.96
instance_240,72.28,2.44,131.96,25.2,97.12,6.08,11.44,548.48
instance_332,16.52,22.0,2.08,673.4,21.8,36.08,5.44,9.04
instance_495,28800.0,4.8,28800.0,769.36,28800.0,5.6,46.68,28800.0
instance_468,5.72,28800.0,4.8,460.44,10.12,28800.0,132.04,4.8
instance_236,14.64,0.16,42.52,11.04,111.6,1.84,3.12,25.48
instance_326,9.04,16.0,1.44,374.64,13.96,26.16,4.08,3.44
instance_288,4358.64,28800.0,1798.04,28800.0,2273.96,28800.0,28800.0,3477.44
instance_1139,98.44,28800.0,153.72,66.76,156.52,28800.0,5.76,162.12
instance_210,35.2,28800.0,26.44,269.64,56.96,28800.0,287.12,32.4
instance_499,28800.0,1.96,28800.0,494.84,28800.0,1.96,32.24,28800.0
instance_960,28800.0,18.32,28800.0,37.08,28800.0,17.84,18.32,28800.0
instance_169,40.84,320.48,18.8,7876.2,20.32,442.0,6.24,40.0
instance_274,28800.0,1176.4,28800.0,37.92,28800.0,4516.24,1101.04,28800.0
instance_630,52.0,1455.16,50.64,1286.88,81.16,28800.0,2402.96,39.12
instance_487,28800.0,86.12,28800.0,13603.92,28800.0,93.48,483.12,28800.0
instance_692,188.04,28800.0,839.28,28800.0,773.64,28800.0,28800.0,177.32
instance_528,253.6,1120.08,84.96,6044.72,91.68,2232.8,1.8,87.52
instance_449,1.56,28800.0,0.24,15.2,0.84,28800.0,0.92,1.68
instance_636,2.8,1138.4,1.56,33.28,6.92,1169.72,4.36,0.8
instance_1149,8.8,28800.0,5.2,28800.0,6.72,28800.0,47.36,6.16
instance_640,706.96,530.4,1042.28,343.28,1141.6,501.64,466.08,674.52
instance_835,2083.84,2094.08,2774.8,148.84,2576.8,2263.0,2831.36,2752.44
instance_622,0.64,28800.0,0.28,159.68,0.48,28800.0,0.64,0.4
instance_342,28800.0,294.08,28800.0,1190.68,28800.0,402.96,9295.4,28800.0
instance_598,28800.0,28800.0,28800.0,10959.76,28800.0,28800.0,28800.0,28800.0
instance_974,135.08,28800.0,152.92,28800.0,121.32,28800.0,157.24,179.8
instance_819,10.96,28800.0,10.68,2010.76,15.32,28800.0,6.96,10.24
instance_370,8.92,460.48,1.36,67.96,6.64,549.56,254.08,3.28
instance_1122,1.32,28800.0,0.52,21.56,0.88,28800.0,2.08,1.84
instance_181,2147.96,28800.0,2122.56,28800.0,1873.28,28800.0,28800.0,2466.44
instance_739,10.32,12.0,43.16,722.96,30.64,11.92,3.44,10.16
instance_319,10529.0,0.84,3285.52,23.04,3736.0,1.4,7.84,10193.8
instance_96,182.52,63.04,132.04,1244.12,201.52,98.92,321.4,138.64
instance_426,3491.8,28800.0,2886.36,28800.0,3409.84,28800.0,28800.0,3750.44
instance_730,87.16,28800.0,44.24,28800.0,129.6,28800.0,28800.0,48.88
instance_190,1433.44,28800.0,1070.64,28800.0,942.84,28800.0,28800.0,1023.08
instance_1151,19.84,28800.0,15.08,28800.0,23.2,28800.0,34.08,19.6
instance_109,1.6,697.68,0.2,30.44,2.0,959.52,4.32,1.04
instance_34,47.96,28800.0,17.84,26.08,44.32,28800.0,28800.0,31.68
instance_917,1186.16,28800.0,465.52,28800.0,520.16,28800.0,26328.08,570.28
instance_784,4674.68,28800.0,5813.64,28800.0,4293.04,28800.0,28800.0,2830.4
instance_294,30.56,28800.0,40.2,28800.0,49.56,28800.0,306.72,13.88
instance_1093,799.16,28800.0,342.36,199.4,310.44,28800.0,11.48,692.28
instance_1095,20289.08,28800.0,18741.52,28800.0,15429.28,28800.0,89.6,24603.64
instance_740,154.24,28800.0,198.12,28800.0,224.72,28800.0,28800.0,144.6
instance_775,95.2,28800.0,101.76,28800.0,128.68,28800.0,1143.0,62.6
instance_424,17.8,0.04,14.72,4.36,27.72,0.12,1.0,19.92
instance_411,28800.0,28800.0,14172.72,28800.0,13152.84,28800.0,3410.2,24350.68
instance_88,141.56,180.12,149.12,46.2,149.56,265.56,53.64,57.76
instance_7,7.28,28800.0,3.2,81.92,10.4,28800.0,4.16,4.16
instance_230,6085.16,28800.0,4035.32,8439.04,5539.56,28800.0,5747.96,4111.16
instance_904,274.16,28800.0,278.44,69.04,291.56,28800.0,119.52,229.08
instance_1064,28800.0,28800.0,10082.16,28800.0,11441.84,28800.0,28800.0,28800.0
instance_207,35.08,225.56,50.2,162.96,31.36,235.12,224.6,43.44
instance_344,2.92,2.16,0.32,2009.16,12.32,13.24,3.4,1.2
instance_471,6.76,2131.24,1.4,89.64,2.88,28800.0,16.08,5.04
instance_1068,20.2,28800.0,19.68,28800.0,23.36,28800.0,23.56,16.0
instance_1154,1754.24,28800.0,1262.76,28800.0,1401.64,28800.0,22988.52,1881.2
