instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8,algorithm_9,algorithm_10,algorithm_11,algorithm_12,algorithm_13,algorithm_14,algorithm_15,algorithm_16,algorithm_17,algorithm_18,algorithm_19,algorithm_20
instance_30,166.228,12.002,52.666000000000004,918.142,12000.0,4.189,52.152,1.712,166.719,2.676,6.493,4.072,1.73,164.105,12000.0,68.815,281.243,1.8900000000000001,814.842,784.471
instance_20,12000.0,0.404,27.559,1.847,12000.0,0.388,0.384,26.108,11.438,0.649,0.47000000000000003,1.135,0.523,6.408,0.554,20.133,12000.0,12000.0,12000.0,8.318
instance_83,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_48,620.6510000000001,869.6030000000001,74.125,0.255,12000.0,0.036000000000000004,0.057,0.043000000000000003,0.051000000000000004,12000.0,0.047,0.036000000000000004,67.984,12000.0,829.891,12000.0,12000.0,126.418,12000.0,0.048
instance_28,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,241.4,12000.0,12000.0,12000.0,162.23,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_74,991.463,12000.0,78.828,12000.0,12000.0,32.061,492.216,12000.0,29.38,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,933.51,520.446,12000.0,405.111
instance_39,12000.0,12000.0,281.496,12000.0,12000.0,3.989,12000.0,0.149,250.28900000000002,12000.0,3.476,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,42.688
instance_9,19.267,12000.0,12000.0,39.376,12000.0,12000.0,23.036,1.316,12000.0,12000.0,12000.0,3.607,0.847,12000.0,12000.0,12000.0,12000.0,12000.0,29.891000000000002,12000.0
instance_65,12000.0,12000.0,12000.0,0.298,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,0.061,0.552,12000.0,12000.0
instance_50,121.794,226.013,1.842,0.633,391.805,0.039,0.047,0.046,0.048,929.1370000000001,0.052000000000000005,0.043000000000000003,249.342,12000.0,706.316,12000.0,12000.0,68.033,681.842,0.041
instance_35,12000.0,12000.0,88.888,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,147.968,59.808,12000.0,12000.0,914.5310000000001,12000.0,1106.9470000000001,12000.0,12000.0
instance_80,369.822,0.108,16.728,18.361,12000.0,2.141,49.806000000000004,12.123000000000001,12.427,360.624,2.057,93.403,101.70100000000001,4.4190000000000005,12000.0,420.677,12000.0,1.7690000000000001,118.673,41.207
instance_44,12000.0,1.208,21.582,12000.0,12000.0,1.547,6.361,0.34700000000000003,9.453,12000.0,1.812,0.711,0.271,7.846,37.162,3.985,12000.0,12000.0,12000.0,30.080000000000002
instance_81,40.695,12000.0,4.766,307.232,12000.0,12000.0,1060.002,22.776,12000.0,1087.199,12000.0,22.886,55.929,19.985,12000.0,315.724,183.601,58.592,160.939,12000.0
instance_27,389.21500000000003,65.745,104.85900000000001,12000.0,12000.0,2.701,15.079,5.219,14.506,5.699,3.0580000000000003,2.136,27.707,16.959,5.347,73.031,897.653,244.25900000000001,12000.0,16.839
instance_62,930.6990000000001,0.264,1.442,480.26800000000003,12000.0,3.856,1.436,0.08600000000000001,3.891,12000.0,1.692,0.101,0.099,6.164,0.126,0.23600000000000002,79.08,5.523,74.239,441.308
instance_22,12000.0,12000.0,69.41,12000.0,12000.0,186.373,56.752,4.003,12000.0,12000.0,255.24800000000002,37.86,5.662,12000.0,12000.0,223.42600000000002,12000.0,12000.0,12000.0,12000.0
instance_100,18.542,0.384,1.5110000000000001,26.791,12000.0,12000.0,5.242,0.486,64.849,61.847,216.97400000000002,0.5740000000000001,0.863,12000.0,41.709,9.896,14.764000000000001,5.936,25.721,12000.0
instance_96,43.035000000000004,495.094,0.587,45.783,68.057,0.073,0.124,0.154,0.083,57.619,0.07,0.157,0.225,12000.0,22.785,0.361,57.935,31.406000000000002,58.444,0.075
instance_51,65.923,267.502,7.051,119.449,219.21800000000002,1.707,143.071,26.365000000000002,9.929,12000.0,1.115,9.685,19.506,12000.0,12000.0,256.319,295.924,364.18,180.681,243.546
instance_33,26.164,4.7250000000000005,10.438,45.27,67.361,75.922,8.026,1.715,71.495,194.769,209.18800000000002,0.272,3.152,12000.0,1.6,6.678,25.516000000000002,12.112,45.339,12000.0
instance_26,43.835,9.836,62.718,12000.0,12000.0,315.692,48.378,1.706,904.807,495.262,82.791,3.731,2.0260000000000002,12000.0,12000.0,188.494,323.188,2.487,11.124,12000.0
instance_25,12000.0,3.642,9.125,12000.0,12000.0,3.436,2.2,0.484,105.303,12000.0,5.904,1.095,0.518,12000.0,4.474,4.761,12000.0,12000.0,12000.0,64.306
instance_8,397.92400000000004,12000.0,12000.0,220.376,12000.0,12000.0,49.627,1.219,12000.0,12000.0,12000.0,7.582,1.569,12000.0,12000.0,12000.0,12000.0,110.745,160.044,12000.0
instance_90,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_85,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_72,12000.0,12000.0,12000.0,12000.0,12000.0,245.061,12000.0,12000.0,1003.303,12000.0,446.613,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_68,12000.0,12000.0,12000.0,12000.0,12000.0,120.267,12000.0,0.491,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_53,174.707,880.144,8.662,337.128,719.3240000000001,3.061,247.53900000000002,34.967,16.752,12000.0,1.828,6.989,20.867,12000.0,12000.0,286.733,508.331,12000.0,540.078,265.298
instance_91,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_34,416.002,12000.0,17.942,741.254,1078.34,38.858000000000004,5.779,110.028,65.607,12000.0,12000.0,2.982,9.159,12000.0,1.834,2.5180000000000002,416.935,277.434,678.476,12000.0
instance_87,15.787,1.845,5.066,25.978,71.646,411.827,7.006,1.477,672.62,6.659,34.934,1.466,1.477,12000.0,11.586,6.2,19.047,3.165,65.07000000000001,12000.0
instance_16,12000.0,8.88,11.931000000000001,0.355,12000.0,0.188,0.091,3.583,0.41400000000000003,0.127,0.158,0.492,0.126,4.07,0.126,20.513,12000.0,7.824,12000.0,0.996
instance_49,12000.0,12000.0,12000.0,0.505,12000.0,0.04,0.036000000000000004,0.05,0.051000000000000004,12000.0,0.044,0.045,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,0.034
instance_73,237.311,12000.0,12000.0,740.77,12000.0,240.389,12000.0,12000.0,347.841,12000.0,460.56,181.126,537.056,12000.0,12000.0,12000.0,268.053,292.661,761.113,12000.0
instance_21,12000.0,12000.0,19.425,12000.0,12000.0,11.144,3.162,0.748,92.738,12000.0,17.746,1.716,0.8200000000000001,12000.0,12000.0,11.1,12000.0,12000.0,12000.0,375.97700000000003
instance_12,102.637,12000.0,2.935,157.763,285.196,1.682,2.962,1.331,8.172,380.343,1.951,1.336,3.733,12000.0,326.17400000000004,93.018,29.643,68.657,152.416,2.439
instance_63,12000.0,12000.0,5.053,0.317,12000.0,12000.0,12000.0,0.738,12000.0,12000.0,12000.0,0.558,0.214,12000.0,12000.0,3.008,0.058,0.553,0.526,12000.0
instance_7,103.486,12000.0,12000.0,136.887,12000.0,12000.0,43.910000000000004,3.702,12000.0,12000.0,12000.0,5.045,1.223,12000.0,12000.0,12000.0,12000.0,111.09700000000001,118.053,12000.0
