instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5
instance_54,263.0,14.0,201.0,5.0,4.0
instance_114,334.0,29.0,66.0,8.0,25.0
instance_62,655.0,120.0,1975.0,96.0,124.0
instance_168,855.0,90.0,396.0,27.0,28.0
instance_169,72000.0,2208.0,72000.0,72000.0,2031.0
instance_183,72000.0,2673.0,72000.0,72000.0,72000.0
instance_209,759.0,57.0,126.0,51.0,38.0
instance_119,11.0,3.0,8.0,1.0,3.0
instance_211,72000.0,4681.0,72000.0,307.0,1195.0
instance_35,54.0,25.0,201.0,11.0,16.0
instance_216,2385.0,166.0,903.0,434.0,341.0
instance_117,72000.0,8.0,72000.0,3.0,2.0
instance_149,139.0,27.0,437.0,163.0,14.0
instance_200,113.0,120.0,72000.0,14.0,28.0
instance_99,445.0,294.0,755.0,215.0,461.0
instance_199,81.0,4.0,104.0,11.0,11.0
instance_123,72000.0,72000.0,72000.0,13.0,87.0
instance_58,72000.0,544.0,72000.0,72000.0,1717.0
instance_130,72000.0,30.0,481.0,64.0,66.0
instance_145,72000.0,72000.0,72000.0,276.0,1333.0
instance_158,72000.0,48.0,5905.0,26.0,15.0
instance_55,103.0,2.0,68.0,2.0,3.0
instance_49,1146.0,715.0,5086.0,581.0,619.0
instance_44,72000.0,50.0,72000.0,72.0,108.0
instance_8,266.0,31.0,645.0,34.0,81.0
instance_205,1574.0,9.0,72000.0,1.0,4.0
instance_135,49.0,65.0,707.0,105.0,173.0
instance_56,72000.0,320.0,72000.0,324.0,222.0
instance_116,72000.0,8.0,72000.0,1.0,1.0
instance_11,60.0,46.0,383.0,2.0,1.0
instance_170,72000.0,5168.0,72000.0,72000.0,2370.0
instance_208,72000.0,2289.0,72000.0,52.0,1160.0
instance_178,72000.0,1.0,72000.0,1.0,72000.0
instance_27,2744.0,15.0,2201.0,1.0,2.0
instance_165,2081.0,257.0,3612.0,225.0,167.0
instance_113,7.0,19.0,72000.0,18.0,573.0
instance_147,72000.0,111.0,2293.0,5.0,553.0
instance_179,72000.0,2.0,72000.0,2.0,72000.0
instance_34,72000.0,1466.0,72000.0,6488.0,72000.0
instance_159,719.0,17.0,25.0,17.0,14.0
instance_132,222.0,55.0,233.0,18.0,15.0
instance_188,1239.0,54.0,72000.0,72000.0,342.0
instance_184,109.0,76.0,293.0,48.0,26.0
instance_98,1579.0,52.0,72000.0,105.0,136.0
instance_217,296.0,62.0,367.0,447.0,370.0
instance_172,72000.0,72000.0,72000.0,210.0,129.0
instance_79,64.0,123.0,72000.0,11.0,45.0
instance_69,81.0,17.0,264.0,21.0,11.0
instance_87,363.0,20.0,421.0,55.0,19.0
instance_47,72000.0,3229.0,72000.0,1448.0,509.0
instance_194,306.0,76.0,693.0,316.0,106.0
instance_186,1394.0,192.0,2232.0,85.0,455.0
instance_107,72000.0,521.0,72000.0,286.0,3679.0
instance_41,599.0,12.0,72000.0,16.0,20.0
instance_180,931.0,116.0,936.0,14.0,39.0
instance_204,48.0,14.0,17.0,10.0,21.0
instance_68,72000.0,24.0,72000.0,12.0,9.0
instance_36,1.0,1.0,72000.0,1.0,1.0
instance_89,72000.0,72000.0,72000.0,152.0,449.0
instance_110,77.0,19.0,127.0,9.0,10.0
instance_213,839.0,23.0,578.0,54.0,77.0
instance_173,191.0,20.0,142.0,48.0,6.0
instance_197,148.0,32.0,221.0,22.0,112.0
instance_67,72000.0,72000.0,72000.0,3748.0,1564.0
instance_142,577.0,31.0,1345.0,53.0,39.0
instance_88,72000.0,72000.0,72000.0,26.0,76.0
instance_17,30.0,9.0,49.0,21.0,8.0
instance_48,139.0,146.0,1319.0,140.0,212.0
instance_51,1192.0,60.0,3980.0,54.0,64.0
instance_124,90.0,349.0,72000.0,35.0,11.0
instance_93,72000.0,72000.0,72000.0,42.0,186.0
instance_92,72000.0,72000.0,72000.0,6.0,23.0
instance_121,11.0,2.0,44.0,3.0,2.0
instance_191,100.0,11.0,41.0,6.0,6.0
instance_72,49.0,23.0,650.0,91.0,110.0
instance_143,72000.0,129.0,765.0,114.0,49.0
instance_198,4063.0,6934.0,72000.0,2402.0,2720.0
instance_215,72000.0,148.0,72000.0,72000.0,218.0
instance_64,425.0,103.0,776.0,38.0,39.0
instance_76,197.0,10.0,161.0,10.0,8.0
instance_81,71.0,3.0,103.0,1.0,2.0
instance_203,605.0,53.0,4847.0,95.0,54.0
instance_39,1.0,1.0,72000.0,1.0,1.0
instance_171,72000.0,1.0,485.0,2.0,1.0
instance_153,14.0,4.0,72000.0,1.0,1.0
instance_192,75.0,15.0,61.0,11.0,10.0
instance_187,35.0,10.0,67.0,7.0,9.0
instance_102,81.0,12.0,119.0,2.0,2.0
instance_70,47.0,1.0,38.0,1.0,2.0
instance_5,152.0,14.0,185.0,11.0,16.0
instance_100,72000.0,6581.0,72000.0,4.0,1474.0
instance_146,84.0,3.0,91.0,4.0,30.0
instance_43,72000.0,473.0,72000.0,39.0,7.0
instance_167,3300.0,3927.0,72000.0,1376.0,1117.0
instance_137,295.0,63.0,242.0,97.0,10.0
instance_212,72000.0,105.0,72000.0,731.0,90.0
instance_24,72000.0,840.0,72000.0,785.0,177.0
instance_80,72000.0,72000.0,72000.0,2668.0,72000.0
instance_176,72000.0,1.0,72000.0,1.0,1979.0
instance_60,72000.0,9.0,3461.0,2.0,18.0
instance_32,22.0,28.0,101.0,10.0,38.0
instance_40,1.0,1.0,52.0,1.0,1.0
instance_66,3745.0,2321.0,606.0,4.0,1.0
instance_38,1.0,1.0,72000.0,1.0,1.0
instance_201,72000.0,1246.0,72000.0,859.0,839.0
instance_104,44.0,16.0,33.0,7.0,17.0
instance_84,2.0,1.0,2.0,1.0,1.0
instance_59,5866.0,7.0,72000.0,9.0,72.0
instance_133,135.0,17.0,105.0,6.0,8.0
instance_111,72000.0,9.0,67.0,6.0,5.0
instance_91,6.0,20.0,49.0,12.0,4.0
instance_214,72000.0,72000.0,72000.0,37.0,63.0
instance_193,72000.0,72000.0,6231.0,5426.0,2808.0
instance_154,53.0,10.0,72000.0,4.0,9.0
instance_151,2998.0,260.0,1708.0,401.0,840.0
instance_21,72000.0,2479.0,72000.0,202.0,341.0
instance_144,765.0,203.0,1292.0,147.0,89.0
instance_95,2236.0,398.0,72000.0,66.0,560.0
instance_42,70.0,3.0,1900.0,4.0,6.0
instance_125,2266.0,160.0,560.0,226.0,899.0
instance_86,65.0,17.0,814.0,8.0,6.0
instance_1,106.0,2.0,99.0,2.0,3.0
instance_20,72000.0,2489.0,72000.0,200.0,289.0
instance_190,42.0,29.0,190.0,51.0,120.0
instance_9,20.0,11.0,47.0,4.0,5.0
instance_161,89.0,32.0,608.0,20.0,62.0
instance_138,72000.0,340.0,72000.0,366.0,472.0
instance_97,72000.0,101.0,72000.0,2375.0,496.0
instance_85,3145.0,219.0,72000.0,5.0,8.0
instance_19,259.0,7.0,152.0,11.0,6.0
instance_25,2079.0,803.0,72000.0,422.0,1080.0
instance_128,233.0,3.0,4.0,4.0,1.0
instance_83,72000.0,63.0,91.0,39.0,6.0
instance_103,1552.0,161.0,1010.0,79.0,68.0
instance_155,72000.0,72000.0,72000.0,72000.0,1762.0
instance_156,168.0,6.0,653.0,1.0,2.0
instance_157,19.0,2.0,72000.0,1.0,1.0
instance_3,72000.0,1642.0,72000.0,451.0,1527.0
instance_127,171.0,19.0,250.0,11.0,15.0
instance_140,1100.0,1195.0,1344.0,207.0,426.0
instance_118,49.0,8.0,275.0,4.0,15.0
instance_23,753.0,238.0,72000.0,1416.0,608.0
instance_131,191.0,3.0,11.0,2.0,1.0
instance_28,1203.0,444.0,72000.0,275.0,294.0
instance_141,24.0,2.0,25.0,1.0,2.0
