instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8,algorithm_9,algorithm_10,algorithm_11,algorithm_12,algorithm_13,algorithm_14,algorithm_15,algorithm_16,algorithm_17,algorithm_18
instance_307,18000.0,0.06,2.15,0.0,0.01,0.0,0.0,0.01,0.09,0.01,1.9,18000.0,0.09,0.03,0.01,0.0,0.01,0.03
instance_135,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_78,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,288.34,18000.0,18000.0,18000.0,431.51
instance_15,0.93,0.07,0.32,0.01,0.01,0.01,0.01,0.0,2.79,0.26,0.29,0.9,2.03,0.61,0.01,0.02,0.01,0.37
instance_400,18000.0,33.82,18000.0,0.21,0.02,0.03,0.22,0.02,4.66,0.18,18000.0,18000.0,4.64,0.05,0.09,18000.0,0.03,18.03
instance_27,18000.0,0.58,18000.0,0.31,0.01,0.0,0.36,0.01,18000.0,0.04,18000.0,18000.0,18000.0,0.38,0.01,0.02,0.02,0.15
instance_422,18000.0,18000.0,18000.0,307.33,8.62,3.44,336.27,30.97,18000.0,2.75,18000.0,18000.0,18000.0,248.2,5.2,6.55,30.04,107.92
instance_505,18000.0,18000.0,18000.0,18000.0,24.14,1304.31,18000.0,58.29,18000.0,21.83,18000.0,18000.0,18000.0,18000.0,16.5,96.73,33.69,1182.67
instance_353,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,399.95
instance_134,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,118.45,18000.0,18000.0,18000.0,598.9
instance_478,18000.0,18000.0,18000.0,502.92,3.93,19.24,516.42,10.72,18000.0,3.08,18000.0,18000.0,18000.0,1189.77,3.2,9.75,14.22,122.14
instance_379,18000.0,18000.0,18000.0,202.46,18000.0,18000.0,214.43,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,619.76,18000.0,18000.0,18000.0,357.11
instance_103,18000.0,18000.0,18000.0,18000.0,178.58,98.96,18000.0,451.02,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,226.47,862.55,1015.79,90.34
instance_282,18000.0,0.09,2.02,0.0,0.01,0.01,0.0,0.01,0.27,0.01,1.98,18000.0,0.27,0.05,0.01,0.0,0.01,0.04
instance_11,18000.0,117.1,18000.0,11.0,3.73,63.31,11.07,10.07,18000.0,586.84,18000.0,18000.0,18000.0,18000.0,1.91,11.58,2.97,18000.0
instance_236,18000.0,18000.0,18000.0,896.74,1.02,2.19,872.24,0.93,18000.0,18000.0,18000.0,18000.0,18000.0,2.02,0.93,3.75,1.32,2.04
instance_245,18000.0,18000.0,18000.0,67.08,1.1,2.09,67.29,1.01,113.11,18000.0,18000.0,18000.0,108.59,1.91,0.9,3.64,1.16,1.9
