instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8,algorithm_9,algorithm_10,algorithm_11,algorithm_12,algorithm_13,algorithm_14,algorithm_15,algorithm_16,algorithm_17,algorithm_18,algorithm_19,algorithm_20,algorithm_21,algorithm_22,algorithm_23,algorithm_24
instance_640,0.03,7.53,0.19,2.43,0.19,0.18,0.03,0.13,0.02,0.31,0.18,0.02,18000.0,3.57,0.02,0.25,0.15,0.23,0.11,0.24,271.57,0.18,11.07,7.28
instance_314,177.61,18000.0,39.06,18000.0,41.67,1.83,480.5,1.06,0.26,2.22,7.78,10.71,18000.0,4.74,231.48,1.32,1.24,0.89,18000.0,1.04,18000.0,8.73,6.01,6.13
instance_372,0.02,0.18,0.15,2.74,0.16,7.38,0.02,0.06,0.02,0.21,67.24,485.31,0.06,0.05,0.02,0.07,0.07,0.16,0.06,0.2,0.15,0.08,0.05,0.05
instance_24,18000.0,35.57,10.23,103.53,18000.0,2.06,0.26,193.42,0.96,4.6,2.1,3.22,18000.0,0.26,0.22,196.59,194.13,3.64,18000.0,3.95,18000.0,3.07,0.26,0.26
instance_436,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,1.56,18000.0,7.69,18000.0,8.34,18.21,18000.0,18000.0,1.48,18000.0,18000.0,18000.0,4.74,18000.0,18000.0,294.61,18000.0,105.68
instance_246,0.0,0.16,0.04,0.29,0.04,0.14,0.0,0.03,0.01,0.11,0.24,0.02,0.02,0.01,0.0,0.05,0.04,0.04,0.03,0.04,0.01,0.01,0.0,0.0
instance_315,0.0,0.04,0.01,0.71,0.02,0.09,0.0,0.02,0.01,0.05,0.1,0.11,0.01,0.0,0.0,0.03,0.03,0.01,0.01,0.02,0.0,0.02,0.0,0.0
instance_431,18000.0,18000.0,18000.0,18000.0,18000.0,1.32,18000.0,18000.0,18000.0,18000.0,1.4,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_642,18000.0,18000.0,147.03,18000.0,121.74,11.75,18000.0,18000.0,18000.0,18000.0,45.0,18000.0,18000.0,18000.0,40.17,18000.0,18000.0,18000.0,199.85,18000.0,18000.0,18000.0,18000.0,18000.0
instance_355,0.0,18000.0,0.02,0.23,0.01,0.14,0.0,0.02,0.0,0.02,0.14,0.21,18000.0,0.05,0.0,0.03,0.03,0.01,18000.0,0.02,18000.0,0.0,0.05,0.05
instance_607,0.1,1.66,1.26,29.53,0.29,0.31,0.07,0.14,563.63,0.21,1.34,0.07,18000.0,0.02,0.04,0.28,0.15,0.2,159.27,27.05,18000.0,0.12,0.01,0.01
instance_710,0.0,0.05,0.02,0.93,0.03,0.11,0.0,0.02,0.03,0.08,0.12,0.1,0.02,0.01,0.0,0.03,0.04,0.02,0.01,0.03,0.01,0.05,0.01,0.01
instance_404,0.07,4.02,0.36,4.59,0.37,0.29,0.09,0.14,0.12,0.51,0.3,0.81,175.9,0.61,0.07,0.16,0.16,0.36,0.07,0.36,175.7,0.29,0.48,0.41
instance_522,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,19.62,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_234,0.01,0.11,0.08,11.27,0.08,0.17,0.01,0.03,0.11,0.12,0.23,14.22,14.49,1.7,0.01,0.04,0.04,0.08,0.02,0.08,14.66,0.15,1.81,1.65
instance_28,0.0,0.06,0.03,0.45,0.03,1.07,0.0,0.03,0.0,0.11,1.24,0.61,0.02,0.01,0.0,0.04,0.05,0.03,0.01,0.07,0.02,0.02,0.01,0.01
instance_405,0.14,18000.0,0.74,18000.0,0.69,0.37,0.14,0.64,1.17,0.91,0.38,0.11,1.13,0.07,0.14,0.65,0.66,0.74,26.09,0.74,1.11,0.22,0.06,0.06
instance_164,0.02,0.17,0.15,9.88,0.14,0.24,0.02,0.04,0.26,0.21,0.26,0.81,0.26,0.2,0.02,0.05,0.05,0.14,0.02,0.15,0.25,0.11,0.33,0.21
instance_260,0.0,18000.0,0.01,0.17,0.01,0.11,0.0,0.02,0.0,0.02,0.12,0.81,18000.0,0.03,0.0,0.03,0.03,0.01,18000.0,0.01,18000.0,0.0,0.03,0.03
instance_35,18000.0,18000.0,9.38,18000.0,9.06,18000.0,18000.0,18000.0,83.58,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,9.35,18000.0,9.31,18000.0,18000.0,18000.0,18000.0
instance_122,0.0,0.04,0.01,1.92,0.01,0.07,0.0,0.02,0.0,0.02,0.07,0.03,0.0,0.0,0.0,0.03,0.03,0.01,0.0,0.01,0.0,0.01,0.0,0.0
instance_247,0.02,0.22,0.18,18000.0,0.19,0.34,0.02,0.04,0.28,0.31,0.52,18000.0,18000.0,18000.0,0.02,0.05,0.05,0.18,0.03,0.19,18000.0,18000.0,18000.0,18000.0
