instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8,algorithm_9,algorithm_10
instance_241,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,2825.28,50000.0,4954.4,50000.0
instance_956,64.288,26.612,42.756,3125.71,19.456,108.628,21.608,2544.99,100.068,106.288
instance_1755,629.4,1103.96,157.04,50000.0,50000.0,442.58,50000.0,103.572,50000.0,184.264
instance_1272,0.001,0.004,0.004,0.004,0.008,0.012,0.044,0.004,0.001,0.004
instance_382,657.9,393.94,137.488,146.096,247.716,270.84,161.72,263.472,122.548,206.348
instance_168,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1702,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1577,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1294,0.008,0.008,0.04,0.04,0.048,0.048,0.144,0.036,0.008,0.036
instance_1363,0.988,1.56,0.512,0.452,0.452,0.956,3.084,0.492,0.352,0.512
instance_1347,47.144,28.528,14.264,46.208,21.532,54.476,12.744,15.476,20.876,21.332
instance_1986,3.204,1.664,7.748,4.268,4.252,4.904,5.112,4.312,2.156,4.304
instance_1359,0.796,4.3,0.804,0.796,0.796,1.736,14.516,0.788,0.524,0.832
instance_1957,23.564,21.832,5.536,10.292,4.38,50000.0,6.048,10.996,9.164,7.744
instance_115,52.392,334.412,1138.01,1206.94,89.628,1473.84,20.18,172.192,470.24,2257.09
instance_273,50000.0,1171.88,956.872,1118.98,196.452,1252.05,1090.1,424.868,309.616,473.584
instance_551,863.072,1352.3,2651.93,2368.72,1473.23,1402.92,1442.5,2176.8,50000.0,729.336
instance_1080,50000.0,50000.0,461.712,50000.0,50000.0,50000.0,50000.0,255.152,50000.0,2032.24
instance_437,335.76,2199.2,231.492,1004.66,56.392,593.02,2222.8,3467.83,946.448,221.232
instance_1197,0.001,0.001,0.001,0.001,0.004,0.008,0.024,0.001,50000.0,0.001
instance_1590,239.872,62.364,94.764,39.58,150.432,88.392,55.176,114.86,67.02,81.944
instance_1576,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_938,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_966,20.304,5.1,14.568,2523.38,5.984,167.5,15.988,2502.26,8.048,27.168
instance_1680,50000.0,50000.0,613.064,2880.88,1643.0,50000.0,86.86,3029.3,50000.0,932.812
instance_1829,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1282,0.004,0.004,0.012,0.016,0.02,0.024,0.056,0.012,0.004,0.012
instance_1915,0.784,0.904,0.2,0.164,0.108,0.908,0.512,0.136,1.252,0.152
instance_959,1466.38,56.672,88.036,2900.51,65.52,122.528,36.672,1634.23,21.808,74.524
instance_1524,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1988,20.736,8.596,101.248,41.596,40.76,12.52,29.376,68.148,26.492,69.7
instance_903,3.856,1.076,0.512,0.92,0.64,2.748,1.016,0.9,3.98,0.74
instance_57,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_280,158.164,243.18,111.124,151.052,169.176,221.556,592.884,153.492,50000.0,51.768
instance_1625,782.864,3.068,1.424,1.368,1.64,50000.0,10.06,1.54,0.828,1.396
instance_1591,25.412,10.58,11.892,34.76,15.688,25.092,51.096,21.392,38.504,16.232
instance_1759,2003.04,1473.89,580.108,605.752,353.756,1094.24,770.34,709.404,514.44,50.976
instance_1452,10.432,8.692,2.972,15.12,4.756,16.468,0.956,9.284,10.8,8.044
instance_535,1004.68,234.816,350.328,100.572,161.64,144.416,168.88,81.064,1125.91,33.192
instance_890,205.884,192.324,60.796,57.656,52.548,67.384,57.668,64.48,76.704,74.472
instance_1090,2928.26,67.944,19.384,25.636,85.764,15.732,101.352,18.076,66.556,46.524
instance_1293,0.008,0.008,0.028,0.028,0.036,0.04,0.112,0.028,50000.0,0.028
instance_1345,81.972,34.912,16.144,76.124,20.676,65.128,18.56,27.352,39.452,27.18
instance_1828,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1720,3443.65,904.844,851.668,745.484,858.284,1773.56,1914.68,773.112,50000.0,1353.12
instance_1093,0.204,0.724,1.524,1.6,1.852,19.792,3.224,1.352,2.328,1.412
instance_1008,58.688,67.188,12.44,37.592,14.496,24.556,11.484,27.672,38.712,19.316
instance_83,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_883,3.372,2.032,0.68,1.132,0.564,2.256,1.004,1.052,1.388,0.704
instance_773,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_502,18.272,3.256,2.964,7.272,2.228,20.684,2.84,4.432,13.432,4.748
instance_316,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1194,50000.0,50000.0,0.032,0.032,0.036,0.04,0.268,0.032,0.008,0.032
instance_604,3.516,0.608,0.416,0.452,50000.0,0.98,58.172,0.364,1.248,0.304
instance_1252,0.012,0.016,0.028,0.048,0.028,0.068,0.316,0.036,0.112,0.036
instance_1214,0.004,50000.0,0.012,0.012,0.012,0.024,0.072,0.012,0.004,0.012
instance_1292,0.016,0.016,0.044,0.048,0.052,0.056,0.256,0.044,0.14,0.044
instance_1187,0.001,0.001,0.001,0.001,0.001,0.004,0.012,0.001,50000.0,0.001
instance_1996,1.796,1.312,3.04,2.064,2.04,6.2,6.64,2.996,1.92,3.056
instance_898,81.636,198.536,84.52,23.1,55.552,120.508,39.352,90.708,6.184,19.46
instance_38,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,1858.05,50000.0,422.132,50000.0
instance_1719,2187.62,835.052,833.932,707.392,761.536,1834.73,1416.91,773.852,50000.0,979.932
instance_971,134.832,7.412,23.308,2514.91,10.024,35.02,8.96,2489.69,13.872,20.228
instance_1694,50000.0,50000.0,75.304,182.048,121.196,50000.0,2550.15,61.316,42.416,63.824
instance_1683,50000.0,1139.58,386.832,3093.54,422.456,713.46,383.492,2685.05,596.372,247.464
instance_254,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_730,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_810,3813.48,50000.0,1058.38,1416.38,826.5,829.056,911.388,1230.42,919.2,1053.21
instance_413,658.656,160.536,1120.04,129.276,4913.04,1482.72,1043.46,280.244,50000.0,287.492
instance_1653,409.26,179.916,130.672,98.332,145.856,239.276,210.064,95.076,547.364,172.924
instance_870,169.444,114.816,114.908,212.284,112.316,143.96,122.388,154.12,102.336,110.2
instance_849,3809.1,124.456,219.596,938.752,178.496,234.6,104.34,2102.21,45.144,147.74
instance_1267,0.004,0.004,0.008,0.004,0.008,50000.0,0.06,0.004,50000.0,0.008
instance_1513,30.904,18.216,9.412,48.188,19.464,41.596,17.088,11.696,57.628,10.6
instance_1185,0.048,0.036,50000.0,0.268,0.324,0.412,0.948,0.248,0.036,0.26
instance_1087,50000.0,1.616,115.344,149.9,175.72,10.48,47.808,112.364,18.556,109.092
instance_836,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_144,3716.27,4574.34,1078.93,50000.0,50000.0,1143.75,178.924,50000.0,50000.0,610.388
instance_101,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1679,50000.0,4599.34,1520.91,2795.67,2040.71,3537.59,0.92,3323.18,1718.43,2212.34
instance_1913,0.356,0.788,6.284,1.632,0.98,4.924,3.408,5.444,0.204,5.46
instance_1238,0.04,0.016,0.02,0.048,0.032,0.152,0.216,0.048,0.108,0.048
instance_1378,22.292,99.192,768.912,832.556,431.14,771.288,30.476,663.136,1127.43,50000.0
instance_1257,0.036,0.02,0.02,0.04,0.044,0.096,0.228,0.02,50000.0,0.024
instance_400,50000.0,50000.0,3206.14,2096.92,4243.79,4216.54,50000.0,1312.01,50000.0,2257.96
instance_728,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1164,50000.0,406.324,2793.7,1184.8,1220.56,199.1,50000.0,3367.24,50000.0,164.004
instance_1306,5.064,5.32,8.66,5.156,4.164,5.088,6.76,3.928,12.756,3.944
instance_1273,0.004,0.001,0.004,0.004,0.004,0.012,0.04,0.004,50000.0,0.004
instance_1751,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,174.216,50000.0,131.764
instance_993,765.344,751.92,63.528,224.232,57.908,136.704,87.664,54.784,108.564,59.22
instance_1304,323.172,830.74,66.468,959.14,265.82,302.704,584.244,128.396,140.684,327.612
instance_1726,701.644,372.648,446.164,309.72,408.648,448.652,698.136,360.796,2126.47,397.492
instance_1019,119.412,39.452,22.356,44.86,20.1,76.42,20.048,31.064,101.884,27.968
instance_627,181.584,582.012,38.752,231.08,87.308,177.836,99.38,53.628,381.372,94.596
instance_784,0.212,0.536,0.756,0.624,0.396,0.192,0.936,0.056,0.9,0.052
instance_1228,0.024,0.008,0.016,0.032,0.024,0.036,0.128,0.028,0.056,0.028
