instance,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_58,feature_59,feature_60,feature_61,feature_62,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_56,feature_57
instance_662,1800.0,7648.0,1744.0,7592.0,0.1284,0.0296,0.9188,1.9952,2.3664,0.0,4.0,3.0724,0.028,0.2976,0.0276,0.046,0.8276,0.0,0.0,3.7956,0.028,1.2236,0.0104,0.0592,10.9856,0.8988,0.6952,0.0,4.0,13.2948,0.014,1.5324,0.002,0.0316,9.278,2.0296,0.0556,1.2164,0.0212,0.116,0.0428,1.0044,0.0168,0.0908,12.0696,0.4244,1.0056,0.1944,1.2224,9.226,16.0,0.0,16.0,16.0,0.0,15685.2,0.0736,15316.0,16208.0,16208.0,15316.0,16020.0,15476.0,15756.0,103.948,0.2136,95.644,114.7,114.7,95.644,109.636,102.048,103.3,1.5804,2.3548,0.0084,4.0,2.8076,0.2916,2.2716,0.8144,1.5708,0.3644,2.5896,0.008,1.178,0.7036,0.1084,0.4948,0.1876,0.3168,61.524,1.174,386.264,0.2996,384.0,348.0,424.0,3.782,0.8336,3.426,0.1496,51.272,1.3552,386.64,0.3196,388.0,348.0,424.0,1.456,1.67,3.3864,0.2576,1.3004,2.3076
instance_1319,180.0,16020.0,180.0,16020.0,0.0,0.0,0.0448,1.2432,2.7072,0.5716,4.0,3.9824,0.6224,0.0,0.6224,0.6224,0.0,0.0,0.0,0.0,0.6224,0.1576,0.5504,0.66,12.986,0.1352,0.0988,0.0,0.4264,8.3504,0.0344,0.5584,0.026,0.0428,10.9052,0.2216,0.044,0.0,0.044,0.044,,,,,,,,,,,8.0,0.0,8.0,8.0,0.0,18430.0,0.0364,18280.0,18792.0,18792.0,18280.0,18412.0,18332.0,18412.0,73.12,0.0312,72.088,73.824,73.824,72.088,73.508,72.78,73.46,0.272,2.8204,0.004,0.8096,0.548,0.0272,0.3844,0.1184,0.2516,0.0004,1.9408,0.0,0.0008,0.0004,0.0,0.0004,0.0,0.0004,25.9128,1.2044,32.2888,0.966,32.0,24.0,44.0,9.2968,1.3464,3.5996,0.4656,23.1636,1.2264,32.3008,0.936,32.0,24.0,40.0,7.9476,1.7316,3.4952,0.4896,2.8496,3.116
instance_208,6552.0,1012000.0,6392.0,1008000.0,0.1,0.026,0.0256,3.9964,0.0264,3.6668,4.0,0.3908,0.0072,9.0076,0.0052,0.2052,0.5676,0.0,3.916,3.916,0.0072,0.918,0.0028,0.0104,23.1724,1.3816,0.2896,0.6736,2.3188,12.7816,0.0048,1.0364,0.0016,0.0076,22.1816,3.916,0.0252,0.0,0.0252,0.0252,,,,,,,,,,,8.0,0.0,8.0,8.0,0.0,437.32,5.4712,88.0,1760.0,1760.0,88.0,356.0,108.0,188.0,344.14,0.6388,295.192,441.8,441.8,295.192,393.628,301.8,330.044,3.6124,0.162,3.0292,3.9084,3.7752,3.4028,3.714,3.538,3.64,0.0,37.662,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,1324.12,23.0796,2996.12,0.6652,3080.0,2940.0,3148.0,280.82,0.8668,4.024,0.1548,126.668,0.6176,3005.64,0.5792,3060.0,2980.0,3164.0,293.752,0.4424,3.9996,0.0004,3.372,3.7464
instance_289,600.0,12780.0,600.0,12780.0,0.0,0.0,0.1876,1.5256,2.6068,0.8,4.0,3.3892,0.1332,0.0,0.1332,0.1332,0.0,0.0,0.0,0.0,0.1332,0.3424,0.1088,0.1604,13.9464,0.3208,0.2832,0.0,1.1428,11.8516,0.0252,0.9292,0.01,0.0412,11.5256,0.7548,0.1756,0.1004,0.1616,0.184,0.3232,0.2356,0.2556,0.388,16.5048,0.3208,0.2668,0.2516,0.4064,3.6868,12.0,0.0,12.0,12.0,0.0,16585.6,0.112,16228.0,17560.0,17560.0,16228.0,17136.0,16268.0,16444.0,129.272,0.1644,123.928,141.416,141.416,123.928,132.34,125.732,129.416,0.6596,3.1932,0.0056,2.076,1.5536,0.076,0.9328,0.224,0.5432,0.0072,2.3004,0.0016,0.0224,0.0136,0.0032,0.0088,0.0044,0.0064,46.98,1.0592,119.536,0.5732,120.0,96.0,140.0,5.9648,0.9676,3.4728,0.2632,42.104,1.1068,119.46,0.5528,120.0,100.0,140.0,4.0284,1.7176,3.4204,0.2648,2.1776,2.7584
instance_1047,1484000.0,28680000.0,1212000.0,27960000.0,0.898,0.1012,0.1736,3.108,2.0544,0.0,4.0,3.84,0.0,9.2836,0.0,0.0024,2.1852,0.0,3.6744,3.7668,0.0,32.1316,0.0,0.0448,18.04,1.384,1.0456,0.0,4.0,17.0004,0.0,30.8612,0.0,0.024,16.7948,3.7452,0.0,21.1972,0.0,0.0612,,,,,,,,,,,16.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5444,1.1524,0.0,4.0,4.0,1.9584,4.0,3.7952,3.9912,0.2908,7.4324,0.0,4.0,1.2648,0.0,0.2988,0.0,0.0116,4640000.0,0.0,0.0,0.0,0.0,0.0,0.0,12730.8,0.0,14.4584,0.0,4400000.0,0.0,0.0,0.0,0.0,0.0,0.0,9954.0,0.0,12.6972,0.0,0.692,1.4924
instance_1512,1080.0,4320.0,1080.0,4320.0,0.0,0.0,1.0,2.0,2.3096,1.3332,4.0,2.2492,0.0444,0.0,0.0444,0.0444,0.0,0.0,0.0,4.0,0.0444,0.0,0.0444,0.0444,0.0,0.0,0.0,0.0,0.0,0.0,0.0216,1.236,0.0112,0.0332,5.118,1.9332,0.022,0.0572,0.0184,0.0224,0.0556,0.0228,0.052,0.0556,0.1748,1.208,0.126,1.2,1.6,1.2288,24.1784,0.1368,24.0,28.0,0.7292,17469.2,0.0812,16984.0,18068.0,18068.0,16984.0,17656.0,17112.0,17504.0,126.1,0.2364,115.632,136.852,136.852,115.632,131.176,118.172,130.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168,0.0004,0.168,0.168,0.168,0.168,0.168,0.168,0.168,84.356,0.9768,247.924,0.3644,248.0,220.0,276.0,4.6536,1.2056,3.7168,1.0608,56.452,0.7384,247.48,0.3612,248.0,220.0,276.0,1.7328,1.736,3.4848,0.1716,2.3716,3.3216
instance_459,1356.0,9664.0,1356.0,9664.0,0.0,0.0,0.5612,1.4864,3.2544,0.0,4.0,6.5876,0.0524,0.54,0.0472,0.0708,3.296,0.0,0.0,0.0,0.0524,1.1252,0.0396,0.0992,5.0312,0.0888,0.1816,0.0,0.8,2.8172,0.0132,0.834,0.0048,0.0216,7.5988,1.0332,0.0144,0.4544,0.01,0.0184,0.0824,1.0408,0.0528,0.1572,10.3608,1.8096,0.6648,1.2048,2.5864,11.6848,24.0828,0.0948,24.0,28.0,0.4032,9200.4,1.7236,1696.0,13664.0,13664.0,1696.0,11604.0,6424.0,11092.0,114.94,1.566,18.0284,169.172,169.172,18.0284,135.548,96.1,130.648,0.1604,5.9016,0.0,1.302,0.6736,0.0032,0.1356,0.0296,0.052,0.4088,0.6532,0.3248,0.7096,0.4936,0.3376,0.4304,0.3596,0.4036,105.816,0.5512,215.632,0.3932,216.0,188.0,244.0,6.3036,0.4304,3.8516,0.1244,106.0,0.5744,215.48,0.4024,216.0,188.0,244.0,4.0716,1.6508,3.854,0.1344,0.8384,2.0016
instance_603,7840.0,45080.0,5488.0,38912.0,1.7144,0.634,0.564,1.882,2.8988,0.0,4.0,6.3752,0.0096,1.1716,0.006,0.0348,5.1468,0.0,0.874,2.3808,0.0096,3.8252,0.002,0.1184,12.0892,1.0012,0.954,0.0,3.5616,12.372,0.006,4.3324,0.0008,0.0584,11.996,2.8496,0.0076,3.5312,0.0028,0.0996,0.0228,3.6492,0.0016,0.092,16.1092,0.8176,2.3768,0.064,2.2224,13.28,23.898,0.306,20.0,28.0,2.6264,12686.0,0.4572,11236.0,14136.0,14136.0,11236.0,14136.0,11236.0,14136.0,95.252,0.926,73.2,117.304,117.304,73.2,117.304,73.2,117.304,1.7888,2.828,0.0,3.7444,3.4944,0.2036,2.9716,0.5568,1.7688,0.358,4.7324,0.0,1.486,1.0508,0.004,0.4996,0.0512,0.2308,288.232,2.9452,1387.2,0.232,1388.0,1316.0,1460.0,5.0156,0.8144,3.5984,0.1816,365.976,0.8416,1387.12,0.2204,1388.0,1316.0,1460.0,2.78,1.6492,3.68,0.176,0.4168,2.2444
instance_849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instance_1136,383452.0,1132000.0,66176.0,492000.0,19.1776,5.1868,0.5364,1.502,2.8308,0.0,4.0,7.166,0.0008,1.5704,0.0004,0.008,6.554,0.0,0.508,1.8788,0.0008,5.3436,0.0004,0.0268,12.5632,0.7028,0.6192,0.0,3.8632,11.762,0.0004,6.3792,0.0,0.0108,10.5916,1.8332,0.0008,5.1824,0.0,0.028,,,,,,,,,,,29.9836,0.2836,28.0,36.0,3.0532,1666.12,0.9412,604.0,2396.0,2316.0,1340.0,1784.0,1520.0,1672.0,45.552,0.4588,36.8552,56.476,53.712,38.0676,47.936,41.832,45.624,2.2116,1.8308,0.0,4.0,3.3928,0.4412,2.9272,1.6584,2.4528,0.3164,3.386,0.0,1.756,0.5928,0.0016,0.4824,0.0908,0.2944,7583.2,7.354,14288.8,2.2368,17760.0,0.0,17868.0,7.2056,6.0268,5.2728,2.9804,2988.0,1.502,16583.6,1.152,17854.0,17500.0,17984.0,1.5012,5.9084,3.6928,0.3044,0.154,0.4488
