instance,GHackCOMSPS_drup,Glucose_Hack_Kiel_fastBVE,gluHack,glu_mix,glucose.3.0_PADC_10,glucose.3.0_PADC_3,glucose3.0,inIDGlucose
sat/20180321_110706599_p_cnf_320_1120.cnf.bz2,5000.146433,5001.009833,5000.754335,5001.009414,1108.219597,5000.689849,5000.285951,5001.007376
sat/20180321_140824282_p_cnf_320_1120.cnf.bz2,5000.638274,5000.517627,5001.009173,4581.321195,5000.757178,5000.156189,5001.009112,5000.964313
sat/20180321_140826713_p_cnf_320_1120.cnf.bz2,5001.007968,5001.010345,5001.008686,5001.008615,5000.219638,5001.009069,5000.826191,2878.572556
sat/20180322_164241842_p_cnf_320_1120.cnf.bz2,2209.277885,5001.010161,5001.008169,5001.008558,5000.119025,5000.49965,5000.345117,5001.006949
sat/20180326_095801070_p_cnf_320_1120.cnf.bz2,5000.515682,5001.009112,5001.009235,5001.010337,677.982394,2752.913174,5000.50122,5001.007608
sat/a_rphp035_05.cnf.bz2,4861.055966,5000.544662,5000.189078,1175.538623,5001.008957,5001.010132,5000.099843,5000.921251
sat/a_rphp045_05.cnf.bz2,5001.007173,5001.008585,1544.831119,5001.010971,5001.010077,5000.678907,5001.008898,5000.022088
sat/a_rphp055_04.cnf.bz2,288.880992,376.194,3859.021884,427.400116,332.91504,353.74516,356.919497,406.601819
sat/a_rphp056_05.cnf.bz2,5001.007217,5001.008339,647.200208,5001.007914,5001.009633,5001.009249,5000.420741,5000.462098
sat/a_rphp065_04.cnf.bz2,748.727325,1111.441172,1539.368384,1243.91525,847.809986,1023.652528,1090.038478,1095.41462
sat/a_rphp098_04.cnf.bz2,5001.007275,5001.00909,542.424808,5001.008665,5001.008433,5000.065728,5001.010034,5001.009071
sat/ae_rphp045_05.cnf.bz2,5000.951985,5000.76719,2071.188962,1687.196186,5001.009289,5001.008846,5001.010021,5000.247129
sat/ae_rphp055_04.cnf.bz2,228.104788,375.724932,2769.77247,162.458995,363.451102,371.775718,371.056571,344.816094
sat/ae_rphp095_04.cnf.bz2,5000.845587,5000.25576,487.800405,3565.016099,5001.008125,5001.009526,5000.041441,5001.009061
sat/apn-sbox6-cut3-helpbox28.cnf.bz2,5000.025144,5000.287864,5001.008347,5001.010131,5000.127591,5000.037061,223.394683,5000.120215
sat/apn-sbox6-cut3-helpbox30.cnf.bz2,443.210523,3708.745951,1365.012924,418.811497,2151.060947,296.494712,1929.676775,848.458687
sat/apn-sbox6-cut3-helpbox31.cnf.bz2,1727.180436,102.922859,1285.614136,1176.557669,2346.557568,2923.685116,119.416203,2667.480559
sat/apn-sbox6-cut4-helpbox26.cnf.bz2,5000.55117,5001.010086,305.027305,4442.456967,5000.233095,5001.010476,5000.99511,5000.897973
sat/apn-sbox6-cut4-helpbox28.cnf.bz2,869.216095,5001.009083,5001.009858,480.407715,3298.808671,5001.010159,5001.009502,5000.910843
sat/apn-sbox6-cut4-helpbox29.cnf.bz2,5001.007319,5000.124102,341.575707,643.447362,5000.60818,910.966751,5000.565612,544.962608
sat/apn-sbox6-cut4-helpbox30.cnf.bz2,744.403203,683.838554,16.337548,555.191871,376.800469,5000.344578,767.955196,646.017963
sat/apn-sbox6-cut5-helpbox29.cnf.bz2,1722.748242,2021.153139,3967.153535,615.400614,5001.0088,2939.270216,5001.008268,5000.915391
sat/apn-sbox6-cut5-helpbox30.cnf.bz2,214.367245,1209.621438,1769.499974,832.398881,1409.143468,1212.49493,463.607407,1106.995779
sat/bibd-16-80-15-3-2_glb.cnf.bz2,11.448338,68.80199,4.37284,78.52218,93.739542,58.260827,85.846924,8.637381
sat/bibd-19-57-9-3-1_glb.cnf.bz2,659.073803,92.147361,1796.17767,213.516107,207.021633,992.753929,87.581938,229.50379
sat/bibd-8-70-35-4-15_glb.cnf.bz2,18.543455,71.379819,27.870866,35.195566,66.278016,29.829265,65.412813,50.49933
sat/by-alt-5-7.cnf.bz2,5000.780035,5001.010049,5001.01003,669.330642,5000.937999,5001.009222,5001.009218,5000.774017
sat/by-X-2-7-100.cnf.bz2,1174.249303,1040.900338,2053.703388,1053.246652,1050.799194,1575.071408,978.288511,1136.890252
sat/bz-X-4-7-6.cnf.bz2,5000.591261,5000.188414,5001.008767,2103.420832,5000.021103,5000.552138,5000.727019,5000.65901
sat/cms-scheel-md4-families-r24-c4-p4-9-13-18.cnf.bz2,5000.985234,5001.008582,5001.00863,4679.090228,5001.009142,5001.009586,5001.009084,5001.010093
sat/cms-scheel-md4-families-r24-c4-p6-13-17-19.cnf.bz2,385.013124,329.00115,1619.043511,646.626189,1438.723391,1173.287704,330.563798,3602.644116
sat/cms-scheel-md4-families-r24-c5-p0-7-10-15-19.cnf.bz2,0.22072,283.683702,153.325092,26.747447,108.94642,70.870491,259.514644,93.350383
sat/cms-scheel-md4-families-r24-c5-p1-5-10-12-18.cnf.bz2,315.142829,2441.963041,1415.766549,2748.923299,2106.549615,4229.049886,2375.343183,5001.010087
sat/cms-scheel-md4-families-r24-c5-p1-8-13-18-19.cnf.bz2,646.946366,5001.009309,5001.010131,5000.81651,5001.009013,5001.009063,5001.009152,5001.009567
sat/cms-scheel-md4-families-r24-c5-p1-8-9-16-19.cnf.bz2,1141.350811,1863.321583,5001.009949,5001.008923,1830.305634,5001.009878,2217.507553,5001.009614
sat/cms-scheel-md4-families-r24-c5-p5-13-16-17-19.cnf.bz2,2243.401883,5001.008976,5001.012108,5001.011202,5001.010141,5001.00924,5001.007791,5001.010889
sat/cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18.cnf.bz2,1465.971572,2406.804028,2117.697714,2370.155779,3202.262234,331.683554,2837.406365,1783.548969
sat/cms-scheel-md4-families-r24-c6-p1-9-13-16-18-19.cnf.bz2,335.158164,5000.243914,5001.010112,5001.009898,5001.010212,5000.69261,5001.008806,5001.010126
sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf.bz2,159.174675,631.477374,188.194099,135.353807,282.897994,341.889047,732.516319,82.202109
sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf.bz2,3.066175,407.081268,232.287417,162.961087,290.659385,287.006605,403.039895,284.877436
sat/cms-scheel-md5-families-r24-c4-p1-3-4-16.cnf.bz2,49.811665,367.325989,502.783293,325.899485,455.099178,615.270847,364.419365,283.026014
sat/cms-scheel-md5-families-r24-c5-p6-11-15-16-19.cnf.bz2,2486.067479,5001.008232,1381.842006,5000.612601,5001.007939,5001.009768,5001.010066,5001.009096
sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf.bz2,118.86511,2549.516862,484.762165,552.097502,1144.234347,1787.277825,3085.2544,1417.210928
sat/cms-scheel-md5-families-r24-c7-p1-5-6-12-16-18-19.cnf.bz2,1809.108787,5001.008847,5001.009343,5001.009739,5001.009172,5001.009723,5001.009478,5001.009119
sat/CNP-5-0.cnf.bz2,5000.91775,5000.367672,5001.009337,5001.008213,5001.009459,506.398773,5001.010444,74.196138
