instance,feature_7,feature_53,feature_74,feature_42,feature_70
instance_1,1.77122,-1.2969,1.10816,0.0,34.6299
instance_3,1.88092,-1.34852,1.07807,0.0,41.7521
instance_4,1.87401,-1.28191,1.07732,0.0,41.1232
instance_5,1.79325,-1.31779,1.12889,0.0,35.5206
instance_6,1.05153,-0.590304,1.70744,0.0,8.39493
instance_7,1.05231,-0.592791,1.70469,0.0,8.42549
instance_8,1.0522,-0.591498,1.70647,0.0,8.40596
instance_12,2.11849,0.0,2.50399,0.0734377,2.19625
instance_13,2.37983,0.0,2.76663,0.0696864,2.18185
instance_14,2.32199,0.0,2.68539,0.0666931,2.17242
instance_15,2.11849,0.0,2.50399,0.0734377,2.19625
instance_17,2.82979,-0.671313,3.8867,0.0,3045.48
instance_18,2.0834,-0.878109,3.61073,0.0,3459.77
instance_19,2.64614,-1.05277,5.48993,0.0,3129.21
instance_20,1.88071,-1.64675,5.18201,0.0,3424.18
instance_21,2.05026,-0.469244,32.9795,0.0,10.1152
instance_23,2.43983,-0.444183,41.5968,0.0,30.7291
instance_24,4.75523,-0.311953,85.7994,0.0,19.1821
instance_25,1.73045,-0.525339,27.1202,0.0,11.6409
instance_26,2.63214,-0.387345,3.24171,0.0,18.7451
instance_28,2.78946,-0.230855,4.5308,0.0,11.1242
instance_29,2.64251,-0.382833,3.3197,0.0,20.183
instance_30,2.72975,-0.193758,4.66671,0.0,9.11628
instance_32,0.764866,-0.569137,3.89189,0.0,26.7919
instance_35,0.871095,-0.531786,6.90035,0.0,1144.48
instance_36,1.79707,-0.872446,7.12427,0.0,75.2887
instance_37,1.78778,-0.86501,7.0694,0.0,76.1071
instance_39,2.22332,-0.937131,9.53827,0.0,98.9424
instance_40,3.21214,-0.936989,11.8969,0.0,116.475
instance_41,1.12012,-1.13865,7.08564,0.0,729.322
instance_44,1.14073,-1.14794,8.15645,0.0,751.931
instance_45,1.14049,-1.16388,8.03137,0.0,770.334
instance_47,,,,,
instance_52,1.64715,-0.369791,6.90036,0.0129291,17.8315
instance_53,1.71188,-0.357847,7.01556,0.0122967,17.14
instance_54,1.71188,-0.357847,7.01724,0.0122967,17.131
instance_55,1.57996,-0.383003,6.78209,0.0136295,18.5826
instance_58,1.20638,-0.637909,5.25894,0.0,25.3505
instance_59,1.24661,-0.548686,5.80542,0.0,27.1128
instance_61,1.18481,-1.26803,2.87109,0.0,104.515
instance_62,1.61002,-1.04976,3.08982,0.0,87.3673
instance_63,1.33078,-1.51767,2.97139,0.0,103.118
instance_65,1.68808,-1.4785,3.0314,0.0,91.8493
instance_67,10.2068,-0.507963,105.379,0.0,42186.8
instance_68,6.33433,-0.602061,10.1698,0.0,629.41
instance_69,2.83257,-0.560914,4.55351,0.0,631.852
instance_70,4.32977,-0.443566,4.89414,0.0,617.092
instance_72,1.56983,-0.281542,24.3961,0.0,3.39804
instance_75,1.116,-0.379869,18.8634,0.0,3.72161
instance_76,2.93132,14.3845,1.72438,0.0699708,2029.36
instance_78,2.64688,11.0938,1.71787,0.0606061,1171.88
instance_80,1.28197,5.15267,1.36128,0.108108,557.708
instance_82,0.488125,0.0,0.416183,0.0,2.01445
instance_83,0.488125,0.0,0.416183,0.0,2.01445
instance_85,0.488125,0.0,0.416183,0.0,2.01445
instance_86,1.23507,0.0,2.00509,0.00432538,2.43058
instance_87,1.23342,0.0,2.0052,0.00432613,2.43094
instance_89,1.23369,0.0,2.09739,0.00432813,2.43493
instance_90,2.35305,0.0,2.38692,0.00145784,2.39723
instance_91,2.35203,-0.881186,45.2161,0.0,206158.0
instance_94,3.04298,-0.928188,33.808,0.0,24058.3
instance_95,2.29389,-1.37238,19.9534,0.0,16623.9
instance_96,0.276452,-0.139393,1.87317,0.0,8.88764
instance_98,0.690997,-0.454263,9.5596,0.0,8.95883
instance_99,1.23544,-0.458822,1.98548,0.0,8.45349
instance_100,0.795546,-0.506131,2.35677,0.0,3.74314
