instance,VCG.VAR.max,POSNEG.RATIO.VAR.stdev,VCG.VAR.min,VCG.VAR.mean,VG.min
sat/20180321_110706599_p_cnf_320_1120.cnf.bz2,0.010714,0.043702,0.008929,0.009375,0.017857
sat/20180321_140824282_p_cnf_320_1120.cnf.bz2,0.010714,0.043361,0.008929,0.009375,0.017857
sat/20180321_140826713_p_cnf_320_1120.cnf.bz2,0.010714,0.042363,0.008929,0.009375,0.017857
sat/20180322_164241842_p_cnf_320_1120.cnf.bz2,0.010714,0.043861,0.008929,0.009375,0.017857
sat/20180326_095801070_p_cnf_320_1120.cnf.bz2,0.010714,0.042788,0.008929,0.009375,0.017857
sat/a_rphp035_05.cnf.bz2,0.065485,0.331397,0.001231,0.014179,0.001231
sat/a_rphp045_05.cnf.bz2,0.052921,0.344105,0.000763,0.011083,0.000763
sat/a_rphp055_04.cnf.bz2,0.044624,0.372455,0.000558,0.01097,0.000558
sat/a_rphp056_05.cnf.bz2,0.043427,0.356349,0.000495,0.008935,0.000495
sat/a_rphp065_04.cnf.bz2,0.038029,0.383075,0.000401,0.009324,0.000401
sat/a_rphp098_04.cnf.bz2,0.025689,0.400255,0.000179,0.006199,0.000179
sat/ae_rphp045_05.cnf.bz2,0.038353,0.310695,0.000786,0.010081,0.000786
sat/ae_rphp055_04.cnf.bz2,0.031741,0.339286,0.000582,0.009945,0.000582
sat/ae_rphp095_04.cnf.bz2,0.018959,0.365746,0.000201,0.005767,0.000201
sat/apn-sbox6-cut3-helpbox28.cnf.bz2,0.018001,0.291938,3.3e-05,0.000113,1.6e-05
sat/apn-sbox6-cut3-helpbox30.cnf.bz2,0.019663,0.284239,3.9e-05,0.000125,1.8e-05
sat/apn-sbox6-cut3-helpbox31.cnf.bz2,0.020588,0.277127,4.5e-05,0.000131,1.9e-05
sat/apn-sbox6-cut4-helpbox26.cnf.bz2,0.016554,0.236704,2.7e-05,0.000103,1.5e-05
sat/apn-sbox6-cut4-helpbox28.cnf.bz2,0.017997,0.24065,3.9e-05,0.000112,1.6e-05
sat/apn-sbox6-cut4-helpbox29.cnf.bz2,0.018799,0.242109,4.1e-05,0.000117,1.7e-05
sat/apn-sbox6-cut4-helpbox30.cnf.bz2,0.019662,0.243423,4.3e-05,0.000122,1.8e-05
sat/apn-sbox6-cut5-helpbox29.cnf.bz2,0.020504,0.252289,3.6e-05,0.000139,2.7e-05
sat/apn-sbox6-cut5-helpbox30.cnf.bz2,0.021348,0.254305,3.8e-05,0.000145,2.9e-05
sat/bibd-16-80-15-3-2_glb.cnf.bz2,0.000206,0.135433,4e-06,1.7e-05,3e-06
sat/bibd-19-57-9-3-1_glb.cnf.bz2,0.00073,0.08964,9.4e-05,0.00016,7.1e-05
sat/bibd-8-70-35-4-15_glb.cnf.bz2,0.00081,0.091262,0.000182,0.000328,0.000121
sat/by-alt-5-7.cnf.bz2,0.000934,0.146517,1.9e-05,5.3e-05,1.2e-05
sat/by-X-2-7-100.cnf.bz2,0.00133,0.283675,2e-06,4.6e-05,1e-06
sat/bz-X-4-7-6.cnf.bz2,0.001855,0.12502,3.9e-05,0.000113,2.8e-05
sat/cms-scheel-md4-families-r24-c4-p4-9-13-18.cnf.bz2,0.000611,0.150143,0.000113,0.000294,6.4e-05
