instance,Basic.featuretime,HORNY.VAR.entropy,POSNEG.RATIO.CLAUSE.min,reducedVars,VG.mean
aes-key-recovery/AES1-30-5.wcnf,0.0,0.0,0.0,-512.0,0.0
aes-key-recovery/AES1-40-6.wcnf,0.0,0.0,0.0,-512.0,0.0
aes-key-recovery/AES1-40-7.wcnf,0.01,0.0,0.0,-512.0,0.0
aes-key-recovery/AES1-60-17.wcnf,0.0,0.0,0.0,-512.0,0.0
aes-key-recovery/AES1-70-24.wcnf,0.0,0.0,0.0,-512.0,0.0
aes-key-recovery/AES1-76-37.wcnf,0.0,0.0,0.0,-512.0,0.0
aes-key-recovery/AES2-50-52.wcnf,0.0,0.0,0.0,-512.0,0.0
aes-key-recovery/AES2-72-67.wcnf,0.0,0.0,0.0,-512.0,0.0
aes/mul_8_3.wcnf,,,,,
aes/sbox_4.wcnf,0.0,0.0,0.0,-512.0,0.0
atcoss/atcoss_mesat_01.wcnf,0.0,0.0,1.0,1063.18543,0.006623
atcoss/atcoss_mesat_12.wcnf,0.0,0.0,1.0,1105.529801,0.006623
atcoss/atcoss_sugar_01.wcnf,0.0,0.0,0.0,-512.0,0.0
atcoss/atcoss_sugar_12.wcnf,0.0,0.0,0.0,-512.0,0.0
bcp/c5315_F1@0.wcnf,0.0,0.019308,0.0,0.55618,0.005618
bcp/normalized-f20c10b_005_area_delay.wcnf,0.0,0.0,0.0,-512.0,0.0
bcp/normalized-fir06_area_opers.wcnf,0.0,0.0,0.0,-512.0,0.0
bcp/normalized-fir09_area_opers.wcnf,0.0,0.0,0.0,-512.0,0.0
bcp/normalized-ii8a3.wcnf,0.0,0.0,0.0,-512.0,0.0
bcp/normalized-m100_300_10_15.r.wcnf,0.0,0.0,0.0,-512.0,0.0
bcp/normalized-saucier.r.wcnf,0.0,0.0,0.0,-512.0,0.0
bcp/simp-ibd_50.04.wcnf,0.0,0.0,0.0,-512.0,0.0
biorepair/heatShock_WT_148_12.lp.sm-extracted.wcnf,,,,,
biorepair/heatShock_WT_161_12.lp.sm-extracted.wcnf,,,,,
biorepair/heatShock_WT_196_12.lp.sm-extracted.wcnf,,,,,
biorepair/heatShock_WT_28_12.lp.sm-extracted.wcnf,,,,,
biorepair/heatShock_WT_30_12.lp.sm-extracted.wcnf,,,,,
biorepair/heatShock_WT_36_12.lp.sm-extracted.wcnf,,,,,
biorepair/heatShock_WT_43_12.lp.sm-extracted.wcnf,,,,,
biorepair/Stat_vs_Exp_151_12.lp.sm-extracted.wcnf,,,,,
biorepair/Stat_vs_Exp_58_12.lp.sm-extracted.wcnf,,,,,
causal-discovery/causal_n5_i7_N1000_uai13_harddeps_int.wcnf,0.0,0.0,0.0,-512.0,0.0
causal-discovery/causal_n5_i8_N10000_uai13_harddeps_int.wcnf,0.0,0.0,0.0,-512.0,0.0
