instance,MaxHS,Open.WBO.g,Open.WBO.ms,Open.WBO.ms.pre,QMaxSAT2018,UWrMaxSAT,maxino2018
aes-key-recovery/AES1-30-5.wcnf,2.94729,23.1264,36.4261,35.1631,265.286,1.61377,0.87518
aes-key-recovery/AES1-40-6.wcnf,2.97116,29.9838,42.5883,42.5893,3600.0,1.32562,1.17687
aes-key-recovery/AES1-40-7.wcnf,2.91805,23.0123,35.333,42.2254,2516.42,1.35866,1.19019
aes-key-recovery/AES1-60-17.wcnf,4.08291,24.5277,39.1599,50.8725,3600.0,1.45244,1.2506
aes-key-recovery/AES1-70-24.wcnf,93.7757,38.0745,51.747,42.0947,3600.0,3.31442,3.43387
aes-key-recovery/AES1-76-37.wcnf,194.154,371.773,238.068,176.699,3600.0,21.248,91.4986
aes-key-recovery/AES2-50-52.wcnf,12.9145,24.0763,37.1459,33.6422,3600.0,1.57344,1.68346
aes-key-recovery/AES2-72-67.wcnf,3600.0,3600.0,3089.45,814.549,3600.0,3600.0,3600.0
aes/mul_8_3.wcnf,211.145,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0
aes/sbox_4.wcnf,0.270476,0.138025,3.81235,10.3671,1846.63,0.255113,0.334418
atcoss/atcoss_mesat_01.wcnf,58.6869,202.074,368.256,149.512,74.6526,51.3988,46.8142
atcoss/atcoss_mesat_12.wcnf,9.53183,67.2867,110.207,50.3967,74.749,9.69535,7.88483
atcoss/atcoss_sugar_01.wcnf,37.6309,72.7088,134.244,104.757,18.8922,33.9435,33.4043
atcoss/atcoss_sugar_12.wcnf,167.934,58.7779,162.697,130.238,33.824,19.2962,19.0709
bcp/c5315_F1@0.wcnf,0.011542,0.011613,0.011301,0.015038,3600.0,0.011218,0.011318
bcp/normalized-f20c10b_005_area_delay.wcnf,142.211,2.12707,22.9425,123.974,1.96928,3.23147,1.14213
bcp/normalized-fir06_area_opers.wcnf,66.4742,0.443648,1.88123,18.4582,1.38196,1.43523,0.362247
bcp/normalized-fir09_area_opers.wcnf,1148.84,3.31002,71.5309,89.4702,15.7304,21.2942,2.0859
bcp/normalized-ii8a3.wcnf,3.05607,3600.0,1136.41,10.6651,3600.0,0.085915,183.285
bcp/normalized-m100_300_10_15.r.wcnf,4.83638,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0
bcp/normalized-saucier.r.wcnf,84.0545,376.494,520.538,2204.29,3600.0,3600.0,1248.37
bcp/simp-ibd_50.04.wcnf,3600.0,14.6128,19.5324,3600.0,11.7665,8.47087,41.4023
biorepair/heatShock_WT_148_12.lp.sm-extracted.wcnf,3.74229,19.5415,19.9749,8.8775,5.84253,6.77792,1.55946
biorepair/heatShock_WT_161_12.lp.sm-extracted.wcnf,3.8982,20.7784,21.6624,9.83231,4.20338,7.10307,1.61551
biorepair/heatShock_WT_196_12.lp.sm-extracted.wcnf,3.99017,21.0469,21.2273,9.08694,4.21482,6.98919,1.64826
biorepair/heatShock_WT_28_12.lp.sm-extracted.wcnf,4.12315,20.4063,20.2234,9.16717,12.6698,7.41351,1.72872
biorepair/heatShock_WT_30_12.lp.sm-extracted.wcnf,4.52714,21.0455,21.2109,9.32502,10.1822,7.22897,1.71919
biorepair/heatShock_WT_36_12.lp.sm-extracted.wcnf,4.22395,21.0228,21.6341,8.97963,4.86655,7.40914,1.65917
biorepair/heatShock_WT_43_12.lp.sm-extracted.wcnf,3.90013,19.8786,20.4176,8.96781,5.22277,6.67337,1.61869
biorepair/Stat_vs_Exp_151_12.lp.sm-extracted.wcnf,4.38131,19.9132,20.1065,9.25113,7.30099,7.35205,1.72522
biorepair/Stat_vs_Exp_58_12.lp.sm-extracted.wcnf,3.94564,20.3694,20.0446,9.51122,4.95579,6.91097,1.64593
