instance,feature_29,feature_37,feature_25,feature_3,feature_32
instance_1,0.03386,0.7819,0.96819,0.01198,2e-05
instance_2,0.03374,0.78194,0.96771,0.01198,1e-05
instance_3,0.0367,0.78051,0.98441,0.01219,2e-05
instance_4,0.03404,0.78189,0.96827,0.01199,3e-05
instance_5,0.03386,0.78191,0.9681,0.01198,2e-05
instance_6,0.03372,0.78194,0.96788,0.01198,1e-05
instance_7,0.03388,0.7819,0.96892,0.01198,2e-05
instance_8,0.03669,0.78051,0.98432,0.01219,2e-05
instance_10,0.03394,0.78192,0.96911,0.01198,2e-05
instance_11,0.03667,0.78051,0.9839,0.01219,2e-05
instance_17,0.03666,0.7805,0.98326,0.01219,1e-05
instance_18,0.03667,0.78051,0.9839,0.01219,2e-05
instance_19,0.03378,0.78192,0.96894,0.01198,1e-05
instance_21,0.03379,0.78192,0.96916,0.01198,1e-05
instance_25,0.03665,0.7805,0.98307,0.01219,1e-05
instance_26,0.03667,0.78051,0.98436,0.01219,2e-05
instance_27,0.03668,0.78051,0.98381,0.01219,2e-05
instance_28,0.03381,0.78192,0.96648,0.01198,1e-05
instance_30,0.0367,0.78051,0.98416,0.01219,2e-05
instance_31,0.03377,0.78191,0.9677,0.01198,1e-05
instance_32,0.03665,0.7805,0.9832,0.01219,1e-05
instance_33,0.03667,0.78051,0.98288,0.01219,1e-05
instance_34,0.03381,0.7819,0.96954,0.01198,1e-05
instance_35,0.03666,0.7805,0.98239,0.01219,1e-05
instance_36,0.03402,0.7819,0.96828,0.01199,3e-05
instance_37,0.03666,0.7805,0.98343,0.01219,1e-05
instance_38,0.03378,0.78193,0.9693,0.01198,1e-05
instance_39,0.03384,0.78193,0.96841,0.01198,2e-05
instance_40,0.03395,0.78193,0.96903,0.01198,3e-05
instance_41,0.03384,0.7819,0.96673,0.01198,2e-05
instance_42,0.03384,0.78191,0.96766,0.01198,2e-05
instance_44,0.03669,0.78051,0.98436,0.01219,2e-05
instance_45,0.03376,0.78192,0.96756,0.01198,1e-05
instance_47,0.03387,0.78192,0.96885,0.01198,2e-05
instance_48,0.03666,0.78051,0.98222,0.01219,1e-05
instance_49,0.03669,0.78051,0.98432,0.01219,2e-05
instance_50,0.03384,0.78194,0.96863,0.01198,2e-05
instance_51,0.0094,0.83698,0.30447,0.00936,0.0001
instance_53,0.00939,0.83697,0.30438,0.00935,0.0001
instance_54,0.0094,0.83698,0.30447,0.00936,0.0001
instance_55,0.00939,0.83697,0.30438,0.00935,0.0001
instance_56,0.0094,0.83699,0.30453,0.00936,0.0001
instance_57,0.0094,0.837,0.30461,0.00936,0.0001
instance_58,0.0094,0.83699,0.30453,0.00936,0.0001
instance_59,0.0094,0.83699,0.30453,0.00936,0.0001
instance_62,0.0094,0.83696,0.30441,0.00936,0.0001
instance_63,0.0094,0.83696,0.30441,0.00936,0.0001
instance_65,0.0094,0.83699,0.30453,0.00936,0.0001
instance_66,0.00939,0.83697,0.30438,0.00935,0.0001
instance_68,0.00939,0.83696,0.30432,0.00935,0.0001
instance_70,0.0094,0.83698,0.30447,0.00936,0.0001
instance_71,0.0094,0.837,0.30461,0.00936,0.0001
instance_72,0.0094,0.83698,0.30447,0.00936,0.0001
instance_73,0.0094,0.83696,0.30441,0.00936,0.0001
instance_74,0.0094,0.83699,0.30453,0.00936,0.0001
instance_77,0.00358,0.81881,0.0,0.00358,1e-05
instance_78,0.00358,0.8187,0.0,0.00358,1e-05
instance_79,0.0037,0.82088,0.25788,0.00369,4e-05
instance_80,0.00361,0.82106,0.25577,0.0036,4e-05
instance_81,0.00363,0.82006,0.25012,0.00362,4e-05
instance_82,0.00365,0.82312,0.26994,0.00364,4e-05
instance_83,0.00362,0.82056,0.25291,0.00361,4e-05
instance_85,0.00359,0.81818,0.0,0.00359,1e-05
instance_86,0.00371,0.82043,0.25538,0.0037,4e-05
instance_88,0.00357,0.81901,0.0,0.00357,1e-05
instance_90,0.0036,0.82156,0.25842,0.00359,4e-05
instance_92,0.00373,0.81907,0.24781,0.00373,4e-05
instance_94,0.00354,0.82445,0.27402,0.00353,4e-05
instance_95,0.00358,0.82253,0.26383,0.00357,4e-05
instance_96,0.00359,0.82204,0.26109,0.00358,4e-05
instance_98,0.00358,0.8186,0.0,0.00358,1e-05
instance_99,0.00372,0.81952,0.2503,0.00372,4e-05
instance_100,0.00357,0.81922,0.0,0.00357,1e-05
instance_102,0.00358,0.81839,0.0,0.00358,1e-05
instance_103,0.00367,0.82223,0.26531,0.00366,4e-05
instance_104,0.00355,0.82398,0.27154,0.00354,4e-05
instance_105,0.00371,0.81998,0.25283,0.00371,4e-05
instance_109,0.00357,0.81912,0.0,0.00357,1e-05
instance_110,0.00368,0.82179,0.26276,0.00367,4e-05
instance_112,0.2,0.66566,0.81646,0.2,0.00012
instance_113,0.2,0.6473,0.81642,0.2,8e-05
instance_115,0.2,0.6438,0.81647,0.2,0.00011
instance_116,0.2,0.64828,0.81648,0.2,9e-05
instance_118,0.67608,0.67608,1.44588,0.67608,0.0
instance_121,0.37984,0.37984,0.78262,0.37984,0.00258
instance_122,0.17969,0.17969,0.46805,0.17969,1e-05
instance_123,0.18999,0.18999,0.48436,0.18999,1e-05
instance_124,0.18693,0.18693,0.47947,0.18693,1e-05
instance_125,0.08679,0.52731,0.63037,0.07241,0.00037
instance_126,0.10633,0.56055,0.63813,0.0771,0.00117
instance_127,0.08527,0.5224,0.62539,0.07141,0.00031
instance_128,0.08799,0.52988,0.63328,0.0732,0.00042
instance_129,0.10446,0.55396,0.63221,0.07597,0.00104
instance_130,0.08528,0.52351,0.62623,0.07142,0.00031
instance_134,0.08801,0.52864,0.63213,0.07321,0.00042
instance_135,0.09453,0.5487,0.65269,0.07749,0.00068
instance_136,0.10853,0.5637,0.64211,0.0784,0.00133
instance_137,0.10626,0.56019,0.63831,0.07705,0.00117
instance_138,0.08845,0.52938,0.6331,0.07349,0.00044
instance_140,0.0098,0.74823,0.65814,0.00811,0.00023
instance_142,0.00978,0.7487,0.65856,0.00809,0.00023
instance_143,0.00972,0.74993,0.66002,0.00804,0.00023
instance_145,0.01742,0.75155,0.65606,0.00837,0.00024
instance_147,0.00948,0.75551,0.65592,0.00881,4e-05
instance_151,0.0094,0.75721,0.65744,0.00874,4e-05
instance_152,0.00986,0.74698,0.65666,0.00816,0.00024
instance_153,0.00938,0.75777,0.65786,0.00871,4e-05
instance_154,0.00942,0.75678,0.65684,0.00875,4e-05
instance_155,0.0098,0.74839,0.65826,0.0081,0.00023
instance_157,0.00975,0.74932,0.65927,0.00806,0.00023
instance_158,0.00948,0.75538,0.65576,0.00881,4e-05
instance_160,0.00989,0.74651,0.65612,0.00817,0.00024
instance_161,0.00954,0.75418,0.65451,0.00886,4e-05
instance_162,0.0094,0.75725,0.65748,0.00873,4e-05
instance_163,0.00932,0.75902,0.65977,0.00866,4e-05
instance_164,0.0098,0.74823,0.65814,0.00811,0.00023
instance_166,0.02285,0.75988,0.66831,0.01636,7e-05
instance_167,0.01271,0.73702,0.66029,0.01271,0.00034
instance_168,0.02427,0.76306,0.67068,0.01625,7e-05
instance_170,0.02415,0.76385,0.67184,0.01618,7e-05
instance_171,0.02435,0.76336,0.67128,0.01622,7e-05
instance_174,0.01258,0.73883,0.66262,0.01258,0.00034
instance_175,0.01264,0.73793,0.66143,0.01264,0.00034
instance_176,0.02279,0.76089,0.66948,0.01627,7e-05
instance_181,0.01249,0.7401,0.66423,0.01249,0.00034
instance_182,0.02581,0.76584,0.6731,0.01616,7e-05
instance_184,0.01265,0.7378,0.66131,0.01265,0.00034
instance_186,0.02447,0.76334,0.67126,0.01622,7e-05
instance_191,0.10989,0.72726,0.64104,0.09724,0.00012
instance_192,0.10883,0.72486,0.6401,0.09677,0.00012
instance_195,0.10941,0.72474,0.63888,0.09648,0.00012
instance_196,0.10937,0.72541,0.63835,0.09636,0.00012
instance_197,0.13114,0.71293,0.50489,0.05448,2e-05
instance_198,0.10988,0.72592,0.64279,0.09735,0.00012
instance_200,0.10995,0.72459,0.63978,0.09695,0.00012
instance_203,0.10982,0.72506,0.63796,0.09663,0.00012
instance_204,0.10929,0.72407,0.63941,0.09689,0.00012
instance_205,0.18832,0.70606,0.50771,0.06948,6e-05
instance_206,0.10931,0.72453,0.64046,0.09658,0.00012
instance_207,0.1184,0.45163,0.54681,0.09935,0.00011
instance_209,0.1178,0.45171,0.54592,0.09951,0.00011
instance_210,0.12138,0.77764,0.50664,0.05161,4e-05
instance_211,0.11058,0.72468,0.64315,0.09776,0.00012
instance_214,0.1097,0.72452,0.63972,0.09668,0.00012
instance_215,0.11015,0.72672,0.64167,0.09818,0.00011
instance_217,0.11022,0.72558,0.63934,0.09686,0.00012
instance_218,0.10913,0.72483,0.639,0.09622,0.00012
instance_220,0.10905,0.72519,0.63821,0.09651,0.00012
instance_221,0.10984,0.72404,0.64053,0.09705,0.00012
instance_223,0.11555,0.72725,0.65525,0.09968,0.00011
instance_224,0.11082,0.72408,0.64198,0.09646,0.00012
instance_225,0.11033,0.72482,0.64244,0.09684,0.00012
instance_226,0.11735,0.45345,0.54509,0.09925,0.00011
instance_227,0.10958,0.72443,0.64107,0.09718,0.00012
instance_229,0.11185,0.71342,0.52223,0.04781,3e-05
instance_230,0.00753,0.94656,1.33203,0.00637,3e-05
instance_232,0.0,0.99998,201.78728,2e-05,0.0008
instance_233,0.0,0.99996,158.93924,4e-05,0.00111
instance_234,0.0,0.99996,161.86826,4e-05,0.00113
instance_235,0.0,0.99997,183.46304,3e-05,0.00092
instance_237,0.0,0.99997,198.39929,3e-05,0.00082
instance_239,0.0,0.99998,206.32907,2e-05,0.00078
instance_240,0.0,0.99998,232.81572,2e-05,0.00066
instance_243,0.0,0.99997,193.57349,3e-05,0.00088
instance_244,0.00235,0.63282,0.0,2e-05,0.0
instance_245,0.11478,0.68114,0.57199,0.00052,9e-05
instance_246,0.09323,0.58193,0.0,1e-05,0.0
instance_247,0.00228,0.6539,0.6193,0.00015,1e-05
instance_248,0.07308,0.45583,0.73895,0.05684,5e-05
instance_249,0.07665,0.45595,0.73943,0.06028,3e-05
instance_250,0.07774,0.46481,0.73496,0.05929,0.0001
instance_251,0.10128,0.4674,0.74193,0.07254,3e-05
instance_253,0.07665,0.45595,0.74033,0.06028,3e-05
instance_257,0.10942,0.46471,0.736,0.0747,0.00011
instance_258,0.07506,0.45513,0.74023,0.05854,5e-05
instance_260,0.10942,0.46471,0.73657,0.0747,0.00011
instance_261,0.07308,0.45583,0.7397,0.05684,5e-05
instance_262,0.07665,0.45595,0.74061,0.06028,3e-05
instance_264,0.07665,0.45595,0.74033,0.06028,3e-05
instance_265,0.07506,0.45513,0.73973,0.05854,5e-05
instance_268,0.07506,0.45513,0.74117,0.05854,5e-05
instance_269,0.07774,0.46481,0.73698,0.05929,0.0001
instance_271,0.07506,0.45513,0.74132,0.05854,5e-05
instance_272,0.10942,0.46471,0.73587,0.0747,0.00011
instance_273,0.07774,0.46481,0.73467,0.05929,0.0001
instance_274,0.07774,0.46481,0.73695,0.05929,0.0001
instance_275,0.10942,0.46471,0.73729,0.0747,0.00011
instance_276,0.07665,0.45595,0.73972,0.06028,3e-05
instance_277,0.07774,0.46481,0.73643,0.05929,0.0001
instance_278,0.07308,0.45583,0.73849,0.05684,5e-05
instance_281,0.10942,0.46471,0.73634,0.0747,0.00011
instance_282,0.07665,0.45595,0.7395,0.06028,3e-05
instance_283,0.10128,0.4674,0.74168,0.07254,3e-05
instance_284,0.10128,0.4674,0.74146,0.07254,3e-05
instance_285,0.07665,0.45595,0.7389,0.06028,3e-05
instance_288,0.07774,0.46481,0.73552,0.05929,0.0001
instance_289,0.10128,0.4674,0.74132,0.07254,3e-05
instance_290,0.07308,0.45583,0.73766,0.05684,5e-05
instance_291,0.07774,0.46481,0.73571,0.05929,0.0001
instance_292,0.07506,0.45513,0.7412,0.05854,5e-05
instance_293,0.07308,0.45583,0.73854,0.05684,5e-05
instance_296,8e-05,0.58816,0.35796,8e-05,2e-05
instance_297,0.00062,0.64011,0.38483,0.00062,0.00026
instance_299,0.00018,0.60839,0.36343,0.00018,5e-05
instance_300,9e-05,0.59021,0.35874,9e-05,2e-05
instance_301,0.00072,0.64878,0.38375,0.00072,0.00032
instance_302,7e-05,0.5865,0.35725,7e-05,2e-05
instance_303,0.00039,0.62641,0.37393,0.00039,0.00014
instance_306,9e-05,0.59092,0.36007,9e-05,2e-05
