instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5
instance_2,69.0,22.0,610.0,3.0,3.0
instance_5,152.0,14.0,185.0,11.0,16.0
instance_7,46.0,9.0,118.0,5.0,11.0
instance_8,266.0,31.0,645.0,34.0,81.0
instance_9,20.0,11.0,47.0,4.0,5.0
instance_12,72000.0,660.0,72000.0,1748.0,1022.0
instance_15,72000.0,72000.0,72000.0,1654.0,72000.0
instance_18,11.0,2.0,27.0,1.0,2.0
instance_19,259.0,7.0,152.0,11.0,6.0
instance_20,72000.0,2489.0,72000.0,200.0,289.0
instance_21,72000.0,2479.0,72000.0,202.0,341.0
instance_23,753.0,238.0,72000.0,1416.0,608.0
instance_24,72000.0,840.0,72000.0,785.0,177.0
instance_25,2079.0,803.0,72000.0,422.0,1080.0
instance_26,69.0,33.0,172.0,28.0,28.0
instance_27,2744.0,15.0,2201.0,1.0,2.0
instance_28,1203.0,444.0,72000.0,275.0,294.0
instance_29,373.0,3497.0,72000.0,222.0,97.0
instance_32,22.0,28.0,101.0,10.0,38.0
instance_33,30.0,73.0,71.0,18.0,1.0
instance_34,72000.0,1466.0,72000.0,6488.0,72000.0
instance_35,54.0,25.0,201.0,11.0,16.0
instance_36,1.0,1.0,72000.0,1.0,1.0
instance_40,1.0,1.0,52.0,1.0,1.0
instance_41,599.0,12.0,72000.0,16.0,20.0
instance_42,70.0,3.0,1900.0,4.0,6.0
instance_44,72000.0,50.0,72000.0,72.0,108.0
instance_47,72000.0,3229.0,72000.0,1448.0,509.0
instance_49,1146.0,715.0,5086.0,581.0,619.0
instance_50,237.0,189.0,584.0,104.0,116.0
instance_51,1192.0,60.0,3980.0,54.0,64.0
instance_52,317.0,17.0,72000.0,22.0,14.0
instance_54,263.0,14.0,201.0,5.0,4.0
instance_55,103.0,2.0,68.0,2.0,3.0
instance_56,72000.0,320.0,72000.0,324.0,222.0
instance_57,72000.0,492.0,72000.0,976.0,346.0
instance_58,72000.0,544.0,72000.0,72000.0,1717.0
instance_59,5866.0,7.0,72000.0,9.0,72.0
instance_60,72000.0,9.0,3461.0,2.0,18.0
instance_63,933.0,107.0,1606.0,85.0,95.0
instance_64,425.0,103.0,776.0,38.0,39.0
instance_66,3745.0,2321.0,606.0,4.0,1.0
instance_68,72000.0,24.0,72000.0,12.0,9.0
instance_69,81.0,17.0,264.0,21.0,11.0
instance_70,47.0,1.0,38.0,1.0,2.0
instance_71,15.0,10.0,41.0,5.0,4.0
instance_72,49.0,23.0,650.0,91.0,110.0
instance_73,72000.0,798.0,72000.0,2051.0,539.0
instance_75,72000.0,233.0,72000.0,401.0,224.0
instance_76,197.0,10.0,161.0,10.0,8.0
instance_77,72000.0,655.0,1914.0,1187.0,521.0
instance_81,71.0,3.0,103.0,1.0,2.0
instance_83,72000.0,63.0,91.0,39.0,6.0
instance_84,2.0,1.0,2.0,1.0,1.0
instance_87,363.0,20.0,421.0,55.0,19.0
instance_88,72000.0,72000.0,72000.0,26.0,76.0
instance_89,72000.0,72000.0,72000.0,152.0,449.0
instance_91,6.0,20.0,49.0,12.0,4.0
instance_92,72000.0,72000.0,72000.0,6.0,23.0
instance_93,72000.0,72000.0,72000.0,42.0,186.0
instance_94,72000.0,72000.0,72000.0,509.0,1978.0
instance_95,2236.0,398.0,72000.0,66.0,560.0
instance_96,1260.0,96.0,72000.0,122.0,78.0
instance_97,72000.0,101.0,72000.0,2375.0,496.0
instance_98,1579.0,52.0,72000.0,105.0,136.0
instance_99,445.0,294.0,755.0,215.0,461.0
instance_104,44.0,16.0,33.0,7.0,17.0
instance_106,399.0,43.0,18.0,4.0,4.0
instance_107,72000.0,521.0,72000.0,286.0,3679.0
instance_108,52.0,9.0,32.0,10.0,12.0
instance_109,467.0,524.0,72000.0,141.0,153.0
instance_110,77.0,19.0,127.0,9.0,10.0
instance_112,1.0,1.0,4.0,1.0,1.0
instance_113,7.0,19.0,72000.0,18.0,573.0
instance_115,1607.0,41.0,1285.0,1.0,2.0
instance_117,72000.0,8.0,72000.0,3.0,2.0
instance_118,49.0,8.0,275.0,4.0,15.0
instance_119,11.0,3.0,8.0,1.0,3.0
instance_120,72000.0,72000.0,72000.0,313.0,90.0
instance_121,11.0,2.0,44.0,3.0,2.0
instance_123,72000.0,72000.0,72000.0,13.0,87.0
instance_124,90.0,349.0,72000.0,35.0,11.0
instance_125,2266.0,160.0,560.0,226.0,899.0
instance_127,171.0,19.0,250.0,11.0,15.0
instance_128,233.0,3.0,4.0,4.0,1.0
instance_129,72000.0,52.0,72000.0,3.0,9.0
