instance,feature_30,feature_24,feature_8,feature_31,feature_21
instance_1,0.3237,0.69075,0.14595,0.65751,0.0
instance_2,0.1599,0.74919,0.05424,0.49748,0.1685
instance_3,0.3703,0.76631,0.1244,0.82932,0.5
instance_4,0.20121,0.75107,0.04044,0.65838,0.0
instance_5,0.47566,0.44719,0.5824,0.58614,0.0
instance_7,0.19673,0.76402,0.05801,0.64215,0.34426
instance_8,0.125,0.70089,0.05073,0.36625,0.0
instance_10,0.12758,0.75036,0.04084,0.44973,0.13281
instance_11,0.19475,0.6615,0.14091,0.36038,0.0
instance_12,0.11363,0.7481,0.03632,0.4252,0.12186
instance_14,0.1307,0.70839,0.04583,0.39532,0.0
instance_17,0.4,0.48,0.48,0.4,0.0
instance_20,0.20396,0.7327,0.10023,0.57255,0.28889
instance_21,0.09161,0.69236,0.04462,0.28983,0.0
instance_24,0.82183,0.3907,0.15611,0.97059,0.0122
instance_26,0.82667,0.18135,0.07981,0.98276,0.0
instance_28,0.89764,0.2815,0.30315,0.94291,0.0
instance_29,0.97328,0.38889,0.1955,0.97328,0.0
instance_30,0.78854,0.25799,0.08272,0.98359,0.0
instance_31,0.82565,0.23695,0.22799,0.95316,0.0
instance_32,0.93091,0.41315,0.09005,0.9835,0.01639
instance_33,0.82961,0.20116,0.07549,0.98421,0.0
instance_34,0.94163,0.32296,0.17414,0.9725,0.0
instance_35,0.95591,0.5272,0.17542,0.9728,0.04167
instance_36,0.86207,0.2069,0.68966,0.86207,0.0
instance_37,0.67092,0.35501,0.06486,0.98774,0.00394
instance_38,0.66789,0.33442,0.05822,0.98885,0.00361
instance_39,0.90975,0.45046,0.05627,0.99192,0.0
instance_41,0.79841,0.28354,0.07268,0.98626,0.0
instance_42,0.7892,0.19117,0.10352,0.97787,0.0
instance_44,0.48308,0.53422,0.83936,0.73098,0.0
instance_45,0.38888,0.4582,0.77032,0.71807,0.0
instance_47,0.01249,0.18863,0.07345,0.09672,2e-05
instance_48,0.22569,0.30137,0.38682,1.0,0.00645
instance_49,0.01249,0.1883,0.07345,0.09672,2e-05
instance_50,0.67728,0.74893,0.82019,0.91983,0.00017
instance_51,0.01249,0.18863,0.07345,0.09672,2e-05
instance_52,0.66515,0.42728,0.35212,0.99851,0.11111
instance_54,0.64528,0.43241,0.33331,0.9988,0.07143
instance_55,0.21432,0.50234,0.22341,0.97619,0.1
instance_56,0.21433,0.49828,0.22709,0.97619,0.1
instance_58,0.00038,0.2991,0.00347,1.0,0.33295
instance_60,0.64644,0.42892,0.33582,0.99845,0.07143
instance_62,0.21279,0.50126,0.22051,0.97872,0.09091
instance_65,0.64722,0.43096,0.33553,0.99884,0.06667
instance_66,0.21154,0.48031,0.21507,0.98077,0.08333
instance_68,0.21278,0.4824,0.21792,0.97872,0.09091
instance_69,0.00087,0.33215,0.00632,1.0,0.33263
instance_71,0.21278,0.49725,0.22113,0.97872,0.09091
instance_72,0.00072,0.33389,0.00505,1.0,0.33277
instance_74,0.21154,0.47976,0.21495,0.98077,0.08333
instance_79,0.66827,0.42227,0.3575,0.99817,0.11111
instance_80,0.21282,0.49757,0.23174,0.97872,0.09091
instance_81,0.00082,0.32639,0.00561,1.0,0.33271
instance_82,0.00059,0.33614,0.00675,1.0,0.33258
instance_83,0.21434,0.49809,0.22968,0.97619,0.1
instance_85,0.21435,0.49818,0.23095,0.97619,0.1
instance_86,0.00148,0.33383,0.01019,1.0,0.3322
instance_90,0.21278,0.48265,0.21623,0.97872,0.09091
instance_92,0.2143,0.47901,0.21791,0.97619,0.1
instance_94,0.21282,0.49758,0.23061,0.97872,0.09091
instance_95,0.00116,0.3325,0.00846,1.0,0.33239
instance_96,0.2128,0.49802,0.22796,0.97872,0.09091
instance_98,0.0004,0.33941,0.00481,1.0,0.3328
instance_99,0.65485,0.42826,0.3436,0.99805,0.22222
instance_100,0.2128,0.49874,0.2241,0.97872,0.09091
instance_102,0.21433,0.50185,0.22506,0.97619,0.1
instance_103,0.0005,0.34803,0.00438,1.0,0.33285
instance_104,0.00055,0.33672,0.0042,1.0,0.33287
instance_105,0.64752,0.4335,0.33418,0.99879,0.14286
instance_108,0.64907,0.42837,0.33653,0.99858,0.14286
instance_109,0.0006,0.3269,0.00532,1.0,0.33274
instance_110,0.21279,0.49785,0.22306,0.97872,0.09091
instance_111,0.00057,0.33674,0.0042,1.0,0.33287
instance_112,0.00046,0.32668,0.00403,1.0,0.33289
instance_113,0.2128,0.49924,0.22317,0.97872,0.09091
instance_114,0.21431,0.48346,0.22135,0.97619,0.1
instance_115,0.00046,0.30459,0.0036,1.0,0.33293
instance_116,0.21436,0.49807,0.23609,0.97619,0.1
instance_118,0.65129,0.43111,0.33921,0.99826,0.2
instance_121,0.21278,0.49761,0.22119,0.97872,0.09091
instance_122,0.21278,0.50052,0.21857,0.97872,0.09091
instance_123,0.21435,0.49792,0.23384,0.97619,0.1
instance_124,0.21278,0.49742,0.22094,0.97872,0.09091
instance_125,0.21154,0.48084,0.21519,0.98077,0.08333
instance_126,0.21279,0.49756,0.22274,0.97872,0.09091
instance_127,0.21279,0.49876,0.22268,0.97872,0.09091
instance_128,0.65303,0.4284,0.34103,0.99851,0.1
instance_130,0.2128,0.49769,0.22937,0.97872,0.09091
instance_134,0.6582,0.42391,0.35062,0.99743,0.21053
instance_135,0.64143,0.43704,0.33015,0.99896,0.09091
instance_136,0.21279,0.49818,0.22326,0.97872,0.09091
instance_140,0.64884,0.4298,0.33547,0.99869,0.14286
instance_142,0.21278,0.48303,0.21636,0.97872,0.09091
instance_143,0.21434,0.49803,0.22827,0.97619,0.1
instance_144,0.00069,0.33388,0.00505,1.0,0.33277
instance_145,0.00096,0.33681,0.00724,1.0,0.33253
instance_146,0.00051,0.31819,0.00387,1.0,0.3329
instance_147,0.00042,0.31085,0.00373,1.0,0.33292
instance_150,0.00051,0.32876,0.00595,1.0,0.33267
instance_152,0.65536,0.42442,0.3455,0.99876,0.11111
instance_153,0.2128,0.49874,0.22503,0.97872,0.09091
instance_154,0.21281,0.4978,0.22955,0.97872,0.09091
instance_155,0.2128,0.49872,0.22458,0.97872,0.09091
instance_157,0.21281,0.49838,0.22603,0.97872,0.09091
instance_158,0.2128,0.4979,0.22789,0.97872,0.09091
instance_160,0.00043,0.32682,0.00532,1.0,0.33274
instance_161,0.21279,0.50177,0.22135,0.97872,0.09091
instance_162,0.00061,0.34418,0.00458,1.0,0.33282
instance_163,0.21279,0.49853,0.22215,0.97872,0.09091
instance_164,0.21278,0.50094,0.2199,0.97872,0.09091
instance_166,0.00062,0.3442,0.00458,1.0,0.33282
instance_167,0.65095,0.42728,0.33904,0.99864,0.1
instance_168,0.21278,0.48232,0.21744,0.97872,0.09091
instance_170,0.21281,0.49767,0.23004,0.97872,0.09091
instance_174,0.00036,0.34797,0.00438,1.0,0.33285
instance_176,0.21277,0.48822,0.21433,0.97872,0.09091
instance_177,0.00056,0.33948,0.00481,1.0,0.3328
instance_179,0.6725,0.42154,0.36167,0.99792,0.14286
instance_181,0.82899,0.48604,0.16131,0.9795,0.0
instance_182,0.82899,0.46828,0.16131,0.9795,0.0
instance_186,0.82899,0.4594,0.16131,0.9795,0.0
instance_190,0.82899,0.48604,0.16131,0.9795,0.0
instance_192,0.82899,0.4594,0.16131,0.9795,0.0
instance_195,0.82899,0.46828,0.16131,0.9795,0.0
instance_197,0.82899,0.47716,0.16131,0.9795,0.0
instance_198,0.82899,0.4594,0.16131,0.9795,0.0
instance_200,0.82899,0.48604,0.16131,0.9795,0.0
instance_203,0.82899,0.47716,0.16131,0.9795,0.0
instance_204,0.82899,0.46828,0.16131,0.9795,0.0
instance_205,0.82899,0.47716,0.16131,0.9795,0.0
instance_206,0.82899,0.48604,0.16131,0.9795,0.0
instance_207,0.82899,0.4594,0.16131,0.9795,0.0
instance_209,0.82899,0.48604,0.16131,0.9795,0.0
instance_211,0.82899,0.47716,0.16131,0.9795,0.0
instance_213,0.82899,0.48604,0.16131,0.9795,0.0
instance_214,0.82899,0.47716,0.16131,0.9795,0.0
instance_215,0.82899,0.4594,0.16131,0.9795,0.0
instance_217,0.82899,0.46828,0.16131,0.9795,0.0
instance_218,0.82899,0.46828,0.16131,0.9795,0.0
instance_221,0.82899,0.4594,0.16131,0.9795,0.0
instance_223,0.82899,0.47716,0.16131,0.9795,0.0
instance_224,0.82899,0.46828,0.16131,0.9795,0.0
instance_225,0.82899,0.4594,0.16131,0.9795,0.0
instance_226,0.82899,0.48604,0.16131,0.9795,0.0
instance_227,0.82899,0.4594,0.16131,0.9795,0.0
