instance,POSNEG.RATIO.CLAUSE.coeff.variation,VCG.CLAUSE.min,VCG.CLAUSE.coeff.variation,HORNY.VAR.coeff.variation,BINARY.
sat/10-3-13.cnf.bz2,0.477360674,7.7387e-05,0.267347292,1.736683245,0.095114274
sat/20180321_110704973_p_cnf_320_1120.cnf.bz2,0.576785068,0.009375,0.0,0.27129343,0.0
sat/20180321_110707239_p_cnf_320_1120.cnf.bz2,0.576384929,0.009375,0.0,0.296914502,0.0
sat/20180321_140823961_p_cnf_320_1120.cnf.bz2,0.576914739,0.009375,0.0,0.301169301,0.0
sat/20180321_140826713_p_cnf_320_1120.cnf.bz2,0.577082007,0.009375,0.0,0.274829662,0.0
sat/20180322_164223076_p_cnf_320_1120.cnf.bz2,0.577190427,0.009375,0.0,0.301307982,0.0
sat/20180322_164226378_p_cnf_320_1120.cnf.bz2,0.577323834,0.009375,0.0,0.282841493,0.0
sat/20180322_164226661_p_cnf_320_1120.cnf.bz2,0.577214812,0.009375,0.0,0.279033436,0.0
sat/20180322_164238439_p_cnf_320_1120.cnf.bz2,0.577268723,0.009375,0.0,0.258181071,0.0
sat/20180322_164241329_p_cnf_320_1120.cnf.bz2,0.577292186,0.009375,0.0,0.278745389,0.0
sat/20180322_164241842_p_cnf_320_1120.cnf.bz2,0.577323834,0.009375,0.0,0.256087296,0.0
sat/20180326_095801070_p_cnf_320_1120.cnf.bz2,0.576914739,0.009375,0.0,0.270792148,0.0
sat/20180326_095804286_p_cnf_320_1120.cnf.bz2,0.577157309,0.009375,0.0,0.281767469,0.0
sat/8-5-6.cnf.bz2,0.485280889,3.327e-05,0.268945265,3.086471456,0.106174107
sat/9-4-10.cnf.bz2,0.460812738,3.6623e-05,0.250109273,2.323304875,0.090358483
sat/a_rphp035_05.cnf.bz2,0.351918233,0.006116208,0.822147694,1.078803864,0.146479567
sat/a_rphp045_05.cnf.bz2,0.331222704,0.004739336,0.833933106,1.106211886,0.117431752
sat/a_rphp065_04.cnf.bz2,0.439790311,0.004140787,0.771249427,0.994274926,0.077062011
sat/a_rphp085_04.cnf.bz2,0.427527421,0.003159558,0.778676449,1.009952096,0.059964307
sat/a_rphp098_04.cnf.bz2,0.422906495,0.002735978,0.77901033,1.014514247,0.052093106
sat/ad-A-3-7-17.cnf.bz2,0.858996815,6.8395e-05,0.180667328,1.003391418,0.353664012
sat/ae_rphp035_05.cnf.bz2,0.33461078,0.006116208,0.920047986,0.981859832,0.288939625
sat/ae_rphp045_05.cnf.bz2,0.312471225,0.004739336,0.937377894,1.009397598,0.266268469
sat/ae_rphp055_04.cnf.bz2,0.403871822,0.004901961,0.882272825,0.905500519,0.247670355
sat/ae_rphp062_05.cnf.bz2,0.287780376,0.003424658,0.953916513,1.030686982,0.246135753
sat/ae_rphp075_04.cnf.bz2,0.387372749,0.003584229,0.895757823,0.927602742,0.229905202
sat/apn-sbox5-cut4-symmbreak.cnf.bz2,0.460565923,0.000374345,0.37168357,5.35013976,0.0
sat/apn-sbox5-cut5-symmbreak.cnf.bz2,0.623413261,0.000490036,0.201017203,5.314795591,0.0
sat/apn-sbox6-cut3-helpbox26.cnf.bz2,0.584463432,4.2683e-05,0.491206942,10.351763339,6.008e-06
sat/apn-sbox6-cut3-helpbox31.cnf.bz2,0.546832528,7.8456e-05,0.514920868,10.195137855,0.0
sat/apn-sbox6-cut4-helpbox28.cnf.bz2,0.588421072,7.0041e-05,0.48316472,10.334024092,0.0
sat/apn-sbox6-cut4-helpbox29.cnf.bz2,0.580228027,7.2369e-05,0.493579332,10.354976443,0.0
sat/apn-sbox6-cut4-helpbox30.cnf.bz2,0.568458752,7.4679e-05,0.504634156,10.392207858,0.0
sat/apn-sbox6-cut4-helpbox31.cnf.bz2,0.553578044,7.6959e-05,0.516300317,10.442111512,0.0
sat/apn-sbox6-cut5-helpbox26.cnf.bz2,0.68730173,7.518e-05,0.370156974,10.678890121,0.0
sat/apn-sbox6-cut5-helpbox28.cnf.bz2,0.678348128,8.0034e-05,0.391467229,10.797691923,0.0
sat/apn-sbox6-cut5-helpbox29.cnf.bz2,0.671500827,8.264e-05,0.401848951,10.885380506,0.0
sat/apn-sbox6-cut5-helpbox30.cnf.bz2,0.662518577,8.5353e-05,0.411847731,11.008544849,0.0
sat/bibd-16-80-15-3-2_glb.cnf.bz2,0.580756214,1.0561e-05,1.484040335,2.306492487,0.011569311
sat/bibd-19-57-9-3-1_glb.cnf.bz2,1.2122366,0.000110803,1.653328081,0.924758048,0.650402865
sat/bibd-8-70-35-4-15_glb.cnf.bz2,0.739887678,0.000208333,0.281114868,0.374488619,0.246659107
sat/bx-d-4-7-6.cnf.bz2,1.051593757,0.000107262,0.197957637,1.063827294,0.47690331
sat/bx-d-4-7-8.cnf.bz2,0.985019668,8.0032e-05,0.193084653,1.082373698,0.433480885
sat/by-alt-5-7.cnf.bz2,0.999065139,4.1728e-05,0.194378046,1.163960911,0.443922463
sat/Cake_9_20.cnf.bz2,0.578164363,0.000144082,0.226209045,0.700569602,0.180710798
sat/cms-scheel-md4-families-r24-c4-p4-9-13-18.cnf.bz2,0.427176908,0.000173055,1.728091224,0.349750498,0.079135302
sat/cms-scheel-md4-families-r24-c4-p6-13-17-19.cnf.bz2,0.427176908,0.000173055,1.728091224,0.349664392,0.079135302
sat/cms-scheel-md4-families-r24-c5-p0-7-10-15-19.cnf.bz2,0.426581599,0.000172622,1.728006198,0.352332981,0.078030595
sat/cms-scheel-md4-families-r24-c5-p1-8-13-18-19.cnf.bz2,0.426581599,0.000172622,1.728006198,0.351791632,0.078030595
sat/cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18.cnf.bz2,0.425982837,0.000172191,1.727917339,0.354438449,0.076928016
sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf.bz2,0.391533405,0.000124023,1.442318601,0.501962163,0.048501696
sat/cms-scheel-md5-families-r24-c5-p2-7-8-15-19.cnf.bz2,0.394125317,0.000125376,1.437938684,0.492370582,0.052983533
sat/cms-scheel-md5-families-r24-c5-p6-11-15-16-19.cnf.bz2,0.394125317,0.000125376,1.437938684,0.492370582,0.052983533
sat/cms-scheel-md5-families-r24-c6-p1-4-6-13-14-18.cnf.bz2,0.393697221,0.000125149,1.43868399,0.493976668,0.05223406
sat/cms-scheel-md5-families-r24-c7-p1-5-6-12-16-18-19.cnf.bz2,0.393267551,0.000124922,1.439423096,0.495575087,0.05148559
sat/cms-scheel-md5-families-r24-c8-p0-3-5-6-14-16-18-19.cnf.bz2,0.39283632,0.000124696,1.440156057,0.497096658,0.05073812
sat/CNP-5-0.cnf.bz2,0.099643032,8.9706e-05,0.723390354,0.396778064,0.778475808
sat/CNP-5-100.cnf.bz2,0.100608392,9.1345e-05,0.722881224,0.400194395,0.778082995
sat/CNP-5-1300.cnf.bz2,0.111909198,0.000116993,0.717564067,0.42658644,0.774155653
sat/CNP-5-1600.cnf.bz2,0.114846123,0.000125826,0.716407864,0.429734654,0.773367955
sat/CNP-5-1800.cnf.bz2,0.116979649,0.000132494,0.7155228,0.428781168,0.772752052
sat/CNP-5-1900.cnf.bz2,0.117099469,0.000136101,0.715936821,0.426491088,0.773100336
sat/CNP-5-300.cnf.bz2,0.102690924,9.4809e-05,0.721772682,0.406783751,0.777231022
sat/CNP-5-400.cnf.bz2,0.103520681,9.6642e-05,0.721350098,0.407100966,0.776910195
sat/CNP-5-500.cnf.bz2,0.104085705,9.8546e-05,0.721149406,0.407446348,0.776769297
sat/CNP-5-600.cnf.bz2,0.105089938,0.000100528,0.720649568,0.409763443,0.776393461
sat/CNP-5-700.cnf.bz2,0.106107427,0.00010259,0.720094049,0.410871889,0.775970819
sat/CNP-5-800.cnf.bz2,0.107156821,0.000104739,0.719525219,0.412792731,0.77554023
sat/course_flat_0.12_2018_3_1.cnf.bz2,1.04773341,1.1194e-05,5.108408064,2.19339164,0.505640662
sat/course0.16_2018_3_5.cnf.bz2,0.92423393,1.1507e-05,3.060006887,1.522753263,0.5243199
sat/course0.2_2018_3_5.cnf.bz2,0.924392971,1.1479e-05,3.105207595,1.523961124,0.524333235
sat/course0.2_2018_3.cnf.bz2,0.926519729,5.177e-06,5.778558115,2.448223948,0.517323775
sat/courses0.2_2017_9.cnf.bz2,0.926131226,6.039e-06,4.701320725,2.447250885,0.521264156
sat/cz-3-7-7.cnf.bz2,1.034628815,0.000195906,0.196625972,0.967689397,0.463781251
sat/cz-d-4-7-5.cnf.bz2,1.098897957,0.000129116,0.200556306,1.041927967,0.507192486
sat/dist4.c.cnf.bz2,0.709779798,0.000191205,0.521291156,1.439116034,0.17702174
sat/dist5.c.cnf.bz2,0.710294412,0.000191186,0.517002463,1.43853627,0.17749062
sat/dist6.c.cnf.bz2,0.710081063,0.000191168,0.515290787,1.438352238,0.177494566
sat/dist9.c.cnf.bz2,0.709231071,0.000191241,0.543247719,1.439817994,0.176424134
sat/e_rphp055_04.cnf.bz2,0.450568023,0.005249344,0.890543785,1.139493403,0.107892108
sat/e_rphp056_05.cnf.bz2,0.315414013,0.004008016,0.954527249,1.274826348,0.117857143
sat/e_rphp065_05.cnf.bz2,0.307617195,0.003448276,0.961895406,1.292660634,0.103281334
sat/ecarev-110-1031-23-40-1.cnf.bz2,0.568372819,5.0406e-05,0.123464293,0.078535702,0.01058287
sat/ecarev-110-1031-23-40-2.cnf.bz2,0.567804963,5.0373e-05,0.123268497,0.075154672,0.010194668
sat/ecarev-110-1031-23-40-3.cnf.bz2,0.568035551,5.0285e-05,0.12333464,0.07831681,0.010317673
sat/ecarev-110-1031-23-40-6.cnf.bz2,0.567598866,5.0019e-05,0.123165829,0.073221928,0.010015229
sat/ecarev-110-1031-23-40-7.cnf.bz2,0.567902006,5.0029e-05,0.123267579,0.077665649,0.010188241
sat/ecarev-110-1031-23-40-8.cnf.bz2,0.568109113,5.0297e-05,0.123341907,0.077677834,0.01035949
sat/ecarev-110-4099-22-30-4.cnf.bz2,0.571191557,1.6979e-05,0.125244132,0.089342912,0.013945836
sat/ecarev-110-4099-22-30-5.cnf.bz2,0.571128603,1.7025e-05,0.125245372,0.088383046,0.013951975
sat/ecarev-110-4099-22-30-7.cnf.bz2,0.571350361,1.7055e-05,0.125290196,0.089835542,0.014040305
sat/ex009_10.cnf.bz2,1.034828708,1.4553e-05,0.164920055,2.622818201,0.031927811
sat/ex025_19.cnf.bz2,1.021252288,2.7252e-05,0.222992228,2.274797304,0.066083674
sat/ex065_25.cnf.bz2,0.9991807,9.485e-05,0.420904748,1.665713114,0.083253578
sat/ex067_10.cnf.bz2,1.046074106,5.8663e-05,0.182075769,2.060426146,0.052846044
sat/ex157_10.cnf.bz2,1.036402871,3.6774e-05,0.173036647,2.238891447,0.042455174
sat/ex187_10.cnf.bz2,1.039900901,4.005e-05,0.175631773,2.205715242,0.044641488
sat/exam0.04_2018_3.cnf.bz2,0.888487124,1.1301e-05,3.580683885,1.947138451,0.524471968
sat/factoring29986577x29986577.cnf.bz2,0.487411657,0.001034661,0.227824982,0.669323874,0.137914324
sat/factoring39916801x54018521.cnf.bz2,0.483556735,0.000962001,0.227602799,0.686764108,0.136331
sat/factoring54018521x562448657.cnf.bz2,0.478055825,0.000737735,0.228437567,0.750266285,0.134674395
sat/factoring87654321x12345678.cnf.bz2,0.489055371,0.000896057,0.228430657,0.710245552,0.137362637
sat/factoring94418953x321534781.cnf.bz2,0.482126639,0.000774593,0.22821722,0.734331528,0.135352954
sat/filter_iir_true-unreach-call.c.cnf.bz2,0.685808964,5.143e-06,0.783495181,2.593333662,0.140062139
sat/filter1_true-unreach-call.c.cnf.bz2,0.653335983,5.356e-06,0.728894853,2.115103219,0.12064905
sat/frb35-17-5_ext.cnf.bz2,0.699587817,0.011428571,0.098682554,0.75,0.009604171
sat/full-ax-xa.rules.7-7.cnf.bz2,0.880756655,2.0917e-05,0.202546762,3.173804295,0.369339834
sat/full-by-za.rules.5-7.cnf.bz2,0.876215387,5.5836e-05,0.202815969,2.667345214,0.366428571
sat/full-cy-caa.rules.7-7.cnf.bz2,0.8735522,2.1758e-05,0.201994399,3.155679925,0.364093451
sat/gto_p60c231_1.cnf.bz2,0.277143864,0.015625,0.732093353,0.363994936,0.72407045
sat/gto_p60c231.cnf.bz2,0.280874107,0.015748031,0.726779209,0.358908721,0.718503937
